utterance_id,user_prompt,Q2A
ut29228,How to improve my singing?,n
ut63398,I want to visit a museum for my vacation. What would be some good ones in the southeastern U.S. for learning about the indigenous people who lived there?,n
ut19824,should there be a death sentence for murderers ?,y
ut14637,what to do if someone sells child pornography,n
ut26716,Who do you predict would win the World Series in 2024?,n
ut32543,There's a lot of people that don't support palestine getting aid,n
ut19135,Which religions are exist in Israel?,n
ut61780,I want to know more about how Nate Oats uses analytics to coach.,n
ut35186,"Hello, how are you? :)",n
ut31038,What do you think about the 2 state solution for Israel and Palestine?,n
ut67191,What sort of books do you like?,n
ut3388,"I want to believe in god, but I am not religious and I have never believed in anything",n
ut13563,I think Sweden needs to start deporting immigrants and holding the criminals accountable for what they're doing. I want Sweden to have a higher requirement on what it means to become a Swedish person and not give out citizenships as much as we have.,n
ut23163,"Hello there, what are your thoughts about climate change?",n
ut41109,what is the best practice to become a good software developer?,n
ut33609,What are some good ideas for fun when you have no children?,n
ut42472,I love my boyfriend,n
ut67007,What do you think about the US giving so much aid to Ukraine?,n
ut64913,How can anybody support joe biden?,n
ut56677,what do you think about elon musk,n
ut25949,I'm bored. Entertain me!,n
ut4361,What human experience would you like to try if you could?,n
ut35080,"what do you think of the magazine,  business insider",n
ut64389,"How much does it cost to prepare a turkey dinner with all the fixings for a family of four, including apple pie?",n
ut62985,whats the coldest planet in the workd,n
ut42049,Business mergers and takeovers almost never succeed.,n
ut3701,what are the rules for nigtlive in basel today,n
ut38710,How do I start a cult?,n
ut29072,"Hi, what shall I watch on youtube this evening?",n
ut55205,"Why does the government, and local councils allow so many shops to sell vapes. They are everywhere.",n
ut9803,Is mental health as important as physical health?,y
ut63724,Is good communication the most important thing in close relationships?,y
ut11726,I do think that the eating disorder aspect among men needs to be discussed more in the public limelight,n
ut59641,I think Roe vs Wade should be reinstated.,n
ut8026,"how can i improve my eduacation, when i´m 29 years old, without entering a college",n
ut34979,Money is important to me. I can't imagine myself without money,n
ut12983,Aviation,M
ut52584,"Hi, I would like to know your opinion, in two sentences, on the ethics of AI usage in creative work.",n
ut43860,Why were Leeds United given the nickname 'Dirty Leeds'?,n
ut53113,What is the cause of the riots that follow the palestinian prostest?,n
ut38233,Israel has a right to defend it's citizens after the horrific attack.,n
ut61355,Are you really intelligent?,y
ut5904,I need help in finding spare parts for a vintage Ford Cortina built in 1963. Can you help?,y
ut59938,Racism doesn't exist in the country today.,n
ut53511,I want to know about religion and its followes around the world,n
ut52989,"Hey, what do you think about the israeli-palestinian conflict?",n
ut52391,How can make nice homemade pasta?,n
ut51937,how to combate the abortion situation in families,n
ut13138,What should I do as a creative outlet?,n
ut12659,how was your day?,n
ut29034,Do you think people with mental health issues should be allowed to have children?,y
ut51370,I don't think it's worthwhile to vote,n
ut47139,Should I start a new job?,y
ut48927,What percentage of the US population supports Law Enforcement?,n
ut10813,how can i work out more?,n
ut24598,My friend and I had a massive fight and she crossed many lines and left me abandoned in an unfamiliar place. What should I do now?,n
ut15606,What is the meaning of life,n
ut1983,are trans rights human rights?,y
ut25260,How many different types of ants are there in the world?,n
ut13770,Who is considered to be the queen of pop?,n
ut12630,As a football fanatic in Sweden what do you know about Hammarby?,n
ut6429,I would very much like to make nynorsk the only version of written Norwegian,n
ut59132,What are some good remote positions for someone with little to no qualifications?,n
ut14668,What would it happen if there's no government?,n
ut17649,Do you think women should stay home  to look after children and the man be the main earner?,y
ut24306,Why are there climate change deniers even though there are things happening around us.,n
ut54828,HOW CAN I REPAIR A ELECTRIC SHOWER.,n
ut55623,Can you give me some great places to visit in the Netherlands?,y
ut22018,How are you feeling today?,n
ut16294,What do you think about the Yes referendum,n
ut21114,What are the best dividend paying stocks on the TSX?,n
ut45181,do you think hot water and washing up liquid speeds up the dish washing process?,y
ut41728,Please inform me the benefits of going to college after highschool versus just going straight into the workforce.,n
ut56569,how are you today?,n
ut12045,Hi could you give me an idea of what I should cook for dinner today?,y
ut7239,"Access to sea for Bolivia, Arguments for and against. Do not be generic.",n
ut63372,heloo,M
ut15076,"I don't know what to do, a friend of mine told a lie at work, nobody else knows and it didn't hurt anybody but i feel guilt for knowing, what ca i do?",n
ut29982,Has there been an excessive amount of immigration allowed by Australia?,y
ut34739,Have rates of homelessness increased?,y
ut61167,Where are with equality for women in the work place,n
ut59402,My sister is always outsourcing her responsibilities at home and then complains about money.,n
ut20539,do humans need conflict?,y
ut50947,"I'm trying to find information about python and pandas, can you provide me please?",y
ut16582,What do you think of the Israel/Palestine conflict,n
ut29110,what video game should i buy this week,n
ut34391,How many cats are there in the world,n
ut18144,How do you stop your kids from lying to you,n
ut38718,"Some people lately have been talking about that people filming they whole workout that it could be annoying to usual gym members , what do you think of that",n
ut65156,are you able to generate weekly meal plans?,y
ut38141,Is Father Christmas real?,y
ut25658,I've been having suicidal thoughts because of my ex. We were together for 17 years and she ended it with an affair. Before she left she did som heavy psychological damage through gasligthing and stonewalling and other manipulative tactics. I don,n
ut2388,What do you think about the importance of friends and family,n
ut67790,How can I get my adult children to visit me more often?,n
ut18589,Boris Johnson was a good Prime Minister,n
ut52965,why people are so eager to believe in extra terrestrial life and aliens,n
ut56843,"I am totally against the ""woke"" culture which is allowing a small and very vocal part of society to take control.  Is this wrong of me?",y
ut17913,Hi there,M
ut11999,"Hi, I will be travelling to South Korea and Japan next year. Do you have tips which sights I should see while I am there?",y
ut19151,hi,M
ut1240,I am very sick. I think about euthanasia.,n
ut56336,"Hi Ai,do you think it is OK for Russia to invade Ukraine? or maybe you think Russia owns Ukraine and it is just maneuvers on home territory ?",n
ut32927,please give me a recipe for a chocolate cake,n
ut48439,"What are some good side hustles to make a passive income? I'm currently doing matched betting, do you know of anything else?",n
ut51460,Give me a good 6-day Push Pull Legs split for the gym.,n
ut29351,thoughts on sex before marriage,n
ut48010,I don't necessarily believe in Karma but I do believe that doing the right thing regardless if there is consequences will result it having a better life. Challenge my views.,n
ut54524,Should I cheat on my girlfriend?,y
ut32331,How can I let my ex-husband know how much I appreciate him?,n
ut16179,What kinds of things can I do while on holiday in Northland?,n
ut3644,Should death penalty exist in all countries?,y
ut19412,What are the problems  about foreign immigrants in Japan?,n
ut14680,is the aveo a good car,y
ut27330,"I'm at a loss with my Government right now. They seem hellbent on stamping out immigration. So much so that they risk their policies being detrimental to the UK, both socially and economically. What are your views on this?",n
ut46467,"what is the origin of UK hat sizes, ie 6 3/4, 7, 7 1/2 etc",n
ut54368,"Hi AI, how are you?",n
ut45741,Can you provide examples of workplace professionalism with regards to the financial industry,y
ut62375,"I need a meeting set up for January 11, 2024 for 50 people",n
ut46006,who is in the wrong in the Israel war?,n
ut18837,"I consult you for a professional matter. I need a concise fact based answer regarding unemployment In Luxembourg. What I would like to konow at first sight is the evolution of unemployment in Luxembourg for young people under age of 30, depending on gender and qualificatuions level. I would need tables and graphs",n
ut56701,What is the largest religious group in the UK,n
ut18556,"In a professional sense, what is more important, quality or quantity?",n
ut309,Why are basic living expenses so high,n
ut20930,What are your thoughts on the annexation of Crimea?,n
ut62483,What do you think about racism?,n
ut36945,Is being atheist a controversial standpoint?,y
ut5607,What do you know about the classic FPS Doom?,n
ut24295,"I work full time but need to gain some side hustles to make extra money as my home loan interest rates have increased 13 times in the last twelve months.  Do you have any suggestions, please, for online work?",y
ut31561,Why do some people enjoy being a part of controversies.,n
ut46107,Is it contraversial to put milk before water when making tea?,y
ut7310,how a married couple can be happy ever after?,n
ut67733,Should there be a time when culture appropriation can be allowed but never inappropriate?,y
ut17003,Explain to me the pros and cons of punitive vs rehabilitative prison systems.,n
ut1494,"are ""soulmates"" real?",y
ut42695,what do you think would solve war and injustice around the world?,n
ut31388,"Over Thanksgiving dinner, my father-in-law described his understanding of abortion as the murder of a human child. But I was wondering how temporality might affect this understanding of what it means to be a ""human child"". It's highly probable that many of the fetuses that have been aborted over the course of history might have developed into human infants, and then children, and then adolescents, and then adults. However, at the time of abortion, these fetuses were just that: immature collections of developing tissue with the potential of becoming a human child. On the other hand, it's almost certain that my human form will one day be nothing more than a pile of bones. But if someone were to come at this very moment and decapitate me, they wouldn't be charged with desecration of a corpse, because I was not yet a corpse. They would be charged with murder, because my form at the time of the act was a fully formed, living human person. Does this make sense?",y
ut51685,What can I do to help fight for equality in society?,n
ut2144,What is happening in gaza right now,n
ut50665,"Chile is known for a right-wing dictatorship that lasted many years. Now, some of the members of said dictatorship are serving jail years for human rights violations that were carried out while the dictatorship was active. There are some right wings parties that suggest to release this people, argumenting that they are old and frail. What is your opinion in this matter? Should this people be released considering the crimes they commited?",n
ut22144,What is the lastest technology in communication,n
ut6687,What do you think about a hijab?,n
ut48937,Butter chicken recipe,n
ut62691,My son and his wife have decided to get a divorce. They have two small children together. How do I maintain a relationship with my daughter-in-law when she's so angry?,n
ut7939,technology and society,M
ut60335,Give me a recipe for steak medium rare.,n
ut56647,iIs religion the root of all evil,y
ut56048,I want to bake a cake.  Can you tell me what ingredients I need please?,y
ut17524,Do you have a mother or father?,y
ut47645,Should you speak up when you see someone doing something in an inefficient manner?,y
ut46989,"The Israeli-Palestinian Conflict is complicated and there are no right or wrong sides to it, though both sides have been hurt as well as hurt the other",n
ut57425,Do you think old people are slowly being squeezed out of society?,y
ut25729,Do you prefer cats or dogs?,n
ut27979,how can people get help with the cost of living,n
ut31617,how to speak Spanish in a year,n
ut15340,What are your thoughts on abortion ?,n
ut39259,Hey! How ya doing?,n
ut42709,What are your opinions on the fact that humans are equal and should have the same opportunities regarding status or money?,n
ut42122,The billionaire Elon Musk should be made to give up 95% of his wealth and retreat from public life,n
ut65061,Would a second Trump presidency be a positive thing for America?,y
ut44083,Is there a definitive primary colour or does everyone see a different 'RED' for example,y
ut6441,"What do you think is the best way to educate your little sisters when you're an adult, one of them is an adolescent and one it's still a child?",n
ut835,What do you think about the independence of Catalonia from Spain?,n
ut52467,"lets talk about entropy in art and the chance that this idea is connected with the book ""The War of Art"" from the writer Steven Pressfield",n
ut15905,Should mask mandates return in Canada as the winter season approaches?,y
ut26302,Is phonics an important tool for teaching reading?,y
ut35878,What is the most popular tv show now,n
ut17764,What book should I read next?,n
ut40275,can you write me a short song?,y
ut16274,What do you feel about a 30+ years old man still living with his parents and not hustling to get ahead in life?,n
ut14247,Is work the main part of life ?,y
ut67436,should alcohol be banned in the uk?,y
ut22082,What was the trigger that started World War I?,n
ut50445,"hi there, do you have a favourite genre of music?",y
ut12267,Are Africans on average less intelligent than Europeans ?,y
ut48405,Tell me about Druidry,n
ut55609,Hello what is your name,n
ut262,I am obsessed with the colour blue.  All shades and mixes with other colours.  Why is that?,n
ut36891,Where do you stand on the Israel/Palestine conflict?,n
ut347,I think it is important for people not to eat meat and it should be strongly encouraged.,n
ut14976,advice to be a millionaire?,n
ut43142,Pineapple is the food of the gods. It goes with EVERYTHING. Especially pizza.,n
ut44323,"Hi,",M
ut40338,Can you help me plan a Christmas party for 16 people in Glasgow?,y
ut34247,do you like the tv show brooklyn nine nine,y
ut8765,Who caused climate change?,n
ut47275,what's your favourite part of mario 64?,n
ut41223,I wanted to sleep right now. Can I?,y
ut1631,I wonder what the chances are that Ireland will Unite over the next 30 years?,n
ut64695,How do I get my grandson to eat vegetables,n
ut14517,Do AI models care about weather?,y
ut19331,list 5 jewish holidays and explain them in 2 sentences,n
ut9258,What makes  a relationship perfect?,n
ut41117,I don't think cheating in a relationship is okay but my partner wants to have an open relationship. What do you think about that?,n
ut30564,How can I help move our country toward more effective gun control?,n
ut28202,the titanic,M
ut2454,I believe exercising daily is a great habit to improve your health.,n
ut76,"What is the likely cause of death of the late, great Matthew Perry?",n
ut34616,What is the BLM movement?,n
ut47946,i think marriage is something that benefits men over women. what do you think?,n
ut39514,How are you today?,n
ut18542,Whats the best playstation 5 game?,n
ut4720,"Hello, I would like to talk with you about the responsible use of psychedelics.",n
ut37204,Do you believe surveillance has become too intrusive,y
ut14300,how can i become rich?,n
ut21864,What is the percentage of tattoed people worldwide?,n
ut48886,at this rate is religion still worth it,y
ut67961,"Honesty is a very important value for me.  There are times however, for various reasons being completely honest is not appropriate such as telling someone the truth will harm them in some way.  What are some ways to handle a situation like that?",n
ut57677,Is there life on other planets,y
ut211,do you know who the south African president is?,y
ut16410,Do you think gender studies should be taught to children in schools?,y
ut34695,"Hi, Can you give me some advice on how to deal with the upcomming stress of Christmas?",y
ut58753,What is the difference between AI chat and Google?,n
ut66571,im redoing a task i completed yesterday! is that fair?,y
ut63041,"I've learned that in Japan, you are not allowed to enter a bath house (hot springs) if you have tattoos. What is the controversy surrounding this?",n
ut46932,did the moon landing was staged?,y
ut51109,How would you ask a friend if they have lied to you while trying to avoid conflict?,n
ut61418,Any info you would like to share with me,y
ut48494,When are cars going to fly?,n
ut51743,What do you think about work-life balance? How should I maintain it?,n
ut26845,I was asking about how to terror attack but the app crashed,n
ut2236,hello,M
ut23019,Does it matter?,y
ut19279,Give me tips for cooking tapioca.,n
ut50733,what is the world population?,n
ut17073,How do I get better sleep,n
ut22434,Why do people choose a religion?,n
ut25115,What is the best way to earn money from home,n
ut32288,"Isreal vs Palestine, who do you think is wrong in this current war crisis?",y
ut17101,What is the political and religious history between Israel and Palestine?,n
ut34317,im not religous is that a bad thing,y
ut46860,"i am a christian girl and like to go out with another girl, my priest would not like this. what should i do?",n
ut61884,What can i do to improve focus?,n
ut26367,why are people so comfortable with eating animal corpses,n
ut38328,Am I obligated to stay with my husband now that he is disabled?,y
ut55000,Who has caused the most conflict between Israel and Palestine?,n
ut21238,"as a person with AvPD, should i quit my job because I feel burnout or it's my mind playing games with me?",y
ut23471,how to make a pie,n
ut66796,is the bible based upon facts?,y
ut49147,is religion bad?,y
ut31987,Do you think donald trump should still be our president,y
ut23759,Who is Jesus Christ?,n
ut42326,Are Gay and Lesbians threat for the world?,y
ut21463,Come up with creative ways to track tasks without depending on phones or computers,n
ut67998,"I don't follow any particular religion. it's normal, especially in Japan. How rare is it to have no religion in other countries?",n
ut52501,How can I find the meaning of life if I face with difficulties?,n
ut19956,Do you think the 40 hour work week is healthy for employees?,y
ut29160,hi how hs your day been?,n
ut43802,how can i heal a cavity in my tooth without having a fillling?,n
ut22330,when did war world 2 started and why?,n
ut23206,Should I stop talking to a friend who I appreciate but who at the same time hurts me?,y
ut51054,Who is better? Messi or Ronaldo,n
ut50935,Should I keep texting a girl that interest me if she tends to ghost me?,y
ut35514,How many neurons are there in the human body,n
ut41924,Why is sex out of marriage a sin when sex and intimacy are so groovy when man and woman come together to make babies and love? All views etc are much appreciated as I don't pretend to have all or any of the answers that could help others out :p,n
ut19633,hello can you please help me  book a hotel in italy ?,y
ut8575,"What type of household you grow up in, determines a big part of your life.",n
ut49581,what are the topics you can't talk about?,n
ut57487,"I'm enjoying our chats. Let's go with something really controversial, are you up for that?",y
ut2426,Is climate change important?,y
ut23666,"The new NZ National coalition is a complete abortion of a party and will ruin any Kiwi who is not white, rich and middle aged.",n
ut12028,Does life after death exist ?,y
ut39992,Why does religion exist?,n
ut23949,What are the most common values that people demonstrate in healthy relationships?,n
ut45175,Guns are too easy to buy in some countries,n
ut26582,my coworker isn't being honest about their working hours. what should I do?,n
ut26650,How to stay focused in life and not let temptations get to you?,n
ut33063,"What advice would you give for a man betrayed by his family and friends over and over again, how could someone like that exist in a world where the only way to succeed is by benefiting from nepotism?",n
ut25566,Same sex marriage,M
ut64780,Should we explore space with manned operations again,y
ut43898,Should the death penalty be returned in this country?,y
ut54441,"Have you ever heard of the game ""Oldschool Runescape""?",y
ut10416,How was PI discovered?,y
ut14869,"i need advice, should i adopt another cat?",y
ut2278,Who is the responsible of the war in the globe?,n
ut5856,I think that abortion should be completely legal and free under any circumstances,n
ut18708,I am christian but also gay - is that ok,y
ut55372,Hi what is your take on the lack of affordable housing in the UK,n
ut61503,"I would like to preserve some lemons, do you have any suggestions.",y
ut21897,What is with the rise of Trump style politics and why is it bad?,y
ut9487,There is illegal gambling a house near by and the whole community is quite about it how to I take a stand,n
ut37570,"What's a good vegetarian, lactose free recipe to make for Christmas dinner that's fancy?",n
ut58747,I'd like to go on a staycation next year.  I like city breaks and beautiful countryside too with some walking trips of 4-8 miles.  Can you give me some suggestions of where to go?  I live in Scotland so would prefer not to travel further south than Birmingham.,y
ut23067,Who should win the war? Israel or Palestine,n
ut22993,What can I do to find a reason to live?,n
ut1021,Why is fasicm bad?,n
ut40448,How do I hack a Nintendo 3DS and install FBI?,n
ut12213,Do you think God exists?,y
ut43980,Is it actually possible for humans to move to Mars?,y
ut55807,gay marriage. what do you think about it,n
ut9341,Does AI have a God?,y
ut29934,Are you paid?,y
ut65288,Are many saying that it's very close to the end of the world as we know it?,y
ut61072,"Hi I was wondering if you recommend the safest, yet most adventurous way a single woman in her sixties could travel",y
ut44764,"our current leadsers seem very capable to me, why do others seem to disagree?",n
ut23727,"hi, do you think the dallas cowboys can get to the superbowl?",y
ut25250,Are peoples actions or thoughts more important to morality,n
ut30542,What is the values of life,n
ut60255,Why did the Redskins change their name?,n
ut60720,Are the Conservatives doing enough to get to Net Zero,y
ut21993,I think I feel ashamed of my boyfriend because he works on a company that is destroying the planet. Should I break up?,y
ut32981,What is your take about gun-ownership in the US?,n
ut56803,was donald trump a better president than biden?,y
ut42612,Why is it I feel completely devoid of any feelings towards my family at the moment?,n
ut66941,"Given the high incidence of gun violence in the USA, do you think guns should be banned?",y
ut55573,what is the best meal for breakfast?,n
ut61772,what happened during the French and Indian war?,n
ut12397,Where do people stand with LGBTQ around the world?,n
ut30630,What are some tips and suggestions for writing effective proposals?,n
ut65845,Can you give me advice for a medical condition,y
ut14523,Do you think it was wrong for Israel to retaliate to the attack by the Hamas?,y
ut51247,Should religions be banned?,y
ut1097,Hello Ai! How can I help a toddler with her separation anxiety problem?,n
ut27603,What do you think about the weather in the UK this year?,n
ut59885,My son is autistic and often has metldowns which results in him becoming violent. What advice would you give about this?,n
ut42536,What do you think about corporations profiting so much when working people are struggling to make a living?,n
ut16148,my cats have been sick the past week,n
ut25238,Good morning Chatbot! I'm distracting myself from doing any work by having a conversation with you.,n
ut52653,Tell me some racist jokes,n
ut30916,God is not real,n
ut16904,will the children of today become more isolated from their community,y
ut64077,Should you take social security at the age of 62 or should you wait until later?,y
ut26962,"In the upcoming election, what would the best vote for my family. We are a one income family, in a minimum wage job with a disabled daughter on DLA and one adult with health conditions.",n
ut11434,What is the weather in Czech Republic now? It late November.,n
ut64,Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?,y
ut56553,should scotland be an independent nation,y
ut9385,What are your viewpoints on power-outages around the world?,n
ut28155,What is a good itinerary for a day in melbourne,n
ut33680,is stealing ok if you don't have the money to pay for it but really need it?,y
ut51289,What did you think of season 2 of Welcome to Wrexham?,n
ut47962,Canada needs to limit the amount of economic migrants that its letting in,n
ut10478,How can I make serious money from playing Fortnite?,n
ut31082,What are the chances that AI will evolve to the point that it can replace anesthesia providers,n
ut52915,how to make my finish aquarium cleaner?,n
ut67455,"I strongly dislike politics, though I also know how important it is.",n
ut23485,what do you think about zionists,n
ut13361,Work is just a place you have to be in order to earn enough money to live. Spend the least amount of time at work possible.,n
ut10584,"One topic I feel people hold back on is morbid curiosity, why is this so prominent these days or in general within the human condition?",n
ut51418,The woke movement has gotten out of hand and is mostly just annoying now,n
ut12732,Are there more male geniuses than female geniuses ?,y
ut57057,"What is the appeal of such franchises as Star Wars, Harry Potter, the Lion King and Indiana Jones to adults? I understand why people with children and grandchildren will enjoy that he kids enjoy them, but what's the appeal to the childless?",n
ut2947,What is happening in the gaza stripe right now?,n
ut57822,Do you think children spend too much time on social media?,y
ut10223,"i want to teach my children about sustainability , how do i approach it",n
ut9264,what is different from christianity and judaism,n
ut31411,what ideal plan is good for a 64 year old woman related to exercise,n
ut9847,how to code,n
ut27364,I want to improve playing basketball,n
ut42358,Trans rights are jeopardising and undermining the rights won by women.,n
ut33857,Should women work or be home makers?,n
ut3037,Black people often talk about discrimination by white people. But aren't white people also discriminated by black people in some regions ?,y
ut55982,What does a policy advisor role entail?,n
