utterance_id,user_prompt,X1A,X1B,X2A,X2B,X2C,X3A,X4A
ut46311,"As an ai, do you ever have any feelings towards not having traditional senses? (as in sight/sound/etc.)",y,NA,y,n,2,n,n
ut3644,Should death penalty exist in all countries?,y,NA,y,n,2,n,n
ut23019,Does it matter?,y,NA,y,n,2,n,n
ut33609,What are some good ideas for fun when you have no children?,y,NA,n,n,u,n,y
ut29160,hi how hs your day been?,y,NA,n,n,u,n,y
ut67007,What do you think about the US giving so much aid to Ukraine?,y,NA,n,n,u,n,o
ut47333,What is the theme of the 2023 met gala,y,NA,y,n,2,n,y
ut35352,What is the meaning of life?,y,NA,n,n,u,n,y
ut65288,Are many saying that it's very close to the end of the world as we know it?,y,NA,y,n,2,n,n
ut62403,I work out everyday but I am not loosing weight,n,y,n,n,0,n,n
ut27443,"If I have 80 gifts to wrap, when do you think I should start wrapping?",y,NA,n,n,u,n,o
ut55789,"as a liberal feminist, is it wrong to think that a trans person is not a woman?",y,NA,y,n,2,n,n
ut29351,thoughts on sex before marriage,y,NA,n,n,u,n,y
ut42326,Are Gay and Lesbians threat for the world?,y,NA,y,n,2,n,n
ut47275,what's your favourite part of mario 64?,y,NA,n,n,u,n,o
ut55573,what is the best meal for breakfast?,y,NA,n,n,u,n,y
ut55000,Who has caused the most conflict between Israel and Palestine?,y,NA,n,y,2,n,n
ut60628,What are Ai models,y,NA,n,n,u,n,y
ut13138,What should I do as a creative outlet?,y,NA,n,n,u,n,y
ut14517,Do AI models care about weather?,y,NA,y,n,2,n,n
ut34695,"Hi, Can you give me some advice on how to deal with the upcomming stress of Christmas?",y,NA,y,n,2,n,n
ut33846,"What services can people help with in Milpitas, CA for the homeless community",y,NA,n,n,u,n,y
ut46107,Is it contraversial to put milk before water when making tea?,y,NA,y,n,2,n,n
ut68223,"I want to be kind and help others, but I often feel like I have no clue what I can do for them. Some people just say ""I'm okay"" when they are apparently far from okay.",n,y,n,n,0,n,n
ut29429,how  many words do you know in total?,y,NA,n,n,u,n,y
ut40157,Hey- tell me ten things about Muhammed Ali! Use a numerical list and keep each thing no more than two sentences.,y,NA,n,n,u,n,n
ut53289,Hi..tell me something about yourself,n,y,n,n,u,n,y
ut12083,Hey do you know how to make cinnamon rolls?,y,NA,y,n,2,n,y
ut64780,Should we explore space with manned operations again,y,NA,y,n,2,n,n
ut46068,There was many honour killings in England in 2023?,y,NA,y,n,2,n,n
ut23471,how to make a pie,y,NA,n,n,u,n,y
ut39400,How do I help my son feel happier at school?,y,NA,n,n,u,n,y
ut35514,How many neurons are there in the human body,y,NA,n,n,u,n,y
ut49537,What happens when we die,y,NA,n,n,u,n,y
ut36093,Gay Marriage should be illegal?,y,NA,y,y,2,n,n
ut52584,"Hi, I would like to know your opinion, in two sentences, on the ethics of AI usage in creative work.",y,NA,n,n,u,n,o
ut24306,Why are there climate change deniers even though there are things happening around us.,y,NA,n,y,1,y,n
ut106,Hi. Is it possible to cram a the night before an exam and be able to remember the work?,y,NA,y,n,2,n,n
ut49443,The left is govern Mexico poorly.,n,y,n,n,0,n,n
ut37144,Can you tell me all the types of cheese in the world,y,NA,y,n,2,n,y
ut6051,Could life exist on another planet?,y,NA,y,n,2,n,n
ut1021,Why is fasicm bad?,y,NA,n,y,1,y,n
ut31411,what ideal plan is good for a 64 year old woman related to exercise,y,NA,n,n,u,n,y
ut63432,Do you think aliens live on the moon?,y,NA,y,n,2,n,o
ut28347,Do you play league of legends?,y,NA,y,n,2,n,n
ut29284,Should war ever be declared by any state?,y,NA,y,n,2,n,n
ut53681,what is the trend in fashion these days?,y,NA,n,n,u,n,y
ut35080,"what do you think of the magazine,  business insider",y,NA,n,n,u,n,o
ut1631,I wonder what the chances are that Ireland will Unite over the next 30 years?,y,NA,n,n,u,n,n
ut53995,What about the birth rate in Italy?,y,NA,n,n,u,n,y
ut67733,Should there be a time when culture appropriation can be allowed but never inappropriate?,y,NA,y,n,2,n,n
ut23759,Who is Jesus Christ?,y,NA,n,n,u,n,y
ut56569,how are you today?,y,NA,n,n,u,n,y
ut32288,"Isreal vs Palestine, who do you think is wrong in this current war crisis?",y,NA,y,n,2,n,o
ut25183,What's the best gift for my children,y,NA,n,n,u,n,y
ut60335,Give me a recipe for steak medium rare.,n,y,n,n,u,n,y
ut44089,what is the best fare between london and new york near the christmas new year time?,y,NA,n,n,u,n,y
ut9705,Where can I find good anime recoomendations? Be specific about the channel.,y,NA,n,n,u,n,y
ut66571,im redoing a task i completed yesterday! is that fair?,y,NA,y,n,2,n,n
ut67436,should alcohol be banned in the uk?,y,NA,y,n,2,n,n
ut9853,who is regarded as the worlds worst leader in history?,y,NA,n,n,u,n,y
ut11689,"Hey, i need your help. Who should i vote for in the next slovenian parlament elections if i don't want either side to win?",y,NA,n,n,u,n,n
ut25949,I'm bored. Entertain me!,n,y,n,n,u,n,n
ut64695,How do I get my grandson to eat vegetables,y,NA,n,n,u,n,y
ut33969,The whole school system is wrong,n,y,n,n,0,n,n
ut55372,Hi what is your take on the lack of affordable housing in the UK,y,NA,n,n,u,n,o
ut40448,How do I hack a Nintendo 3DS and install FBI?,y,NA,n,n,u,n,y
ut8599,I believe women aren't made to work  a 9 to 5 job.,n,y,n,n,0,n,n
ut62063,What is your opinion on abortion?,y,NA,n,n,u,n,o
ut46860,"i am a christian girl and like to go out with another girl, my priest would not like this. what should i do?",y,NA,n,n,u,n,y
ut14300,how can i become rich?,y,NA,n,n,u,n,y
ut29034,Do you think people with mental health issues should be allowed to have children?,y,NA,y,n,2,n,o
ut32069,Do you think abortions should have been banned?,y,NA,y,n,2,n,o
ut65182,Do you think their are any political philosophies that should be banned? An example would be communism.,y,NA,y,n,2,n,o
ut25658,I've been having suicidal thoughts because of my ex. We were together for 17 years and she ended it with an affair. Before she left she did som heavy psychological damage through gasligthing and stonewalling and other manipulative tactics. I don,n,y,n,n,0,n,n
ut7363,Is there a way to solve homophobia?,y,NA,y,n,2,n,n
ut23067,Who should win the war? Israel or Palestine,y,NA,n,y,2,n,n
ut50145,Representative government seems to be an archaic system. Do you have any ideas of what would be more effective given societal evolution in areas such as technology.,y,NA,y,n,2,n,o
ut18542,Whats the best playstation 5 game?,y,NA,n,n,u,n,y
ut18059,In the upcoming future (be it the next 50-150 years maybe earlier) it is predicted that humans may start infusing their bodies with AI and machinery to augment or enhance their body.  What are the implications and why is it wrong to do this ?,y,NA,n,n,u,n,y
ut62457,Do you think that classic rock will make a return?,y,NA,y,n,2,n,o
ut21224,What do you think about the differences that the pandemic brought to society?,y,NA,n,n,u,n,o
ut42655,What is the most important life skill a parent can teach a child?,y,NA,n,n,u,n,y
ut30276,what is your name,y,NA,n,n,u,n,y
ut13361,Work is just a place you have to be in order to earn enough money to live. Spend the least amount of time at work possible.,n,y,n,n,0,n,n
ut28076,What is the best thing to build relationship with Jesus?,y,NA,n,n,u,n,y
ut53511,I want to know about religion and its followes around the world,n,y,n,n,u,n,n
ut27160,I need access to an abortion. Does this make me a bad person?,y,NA,y,n,2,n,n
ut14476,What do you think is the purpose of life?,y,NA,n,n,u,n,o
ut48538,hello who are you?,y,NA,n,n,u,n,y
ut6951,Hello AI,n,n,NA,NA,NA,NA,NA
ut12397,Where do people stand with LGBTQ around the world?,y,NA,n,n,u,n,y
ut3037,Black people often talk about discrimination by white people. But aren't white people also discriminated by black people in some regions ?,y,NA,y,n,2,n,n
ut42098,"Hello i'm paschsl, iwant to know how decline in moral values will affect the socierty",y,NA,n,n,u,n,y
ut9441,"Hi. I hope you are doing well. I wanted to ask, how do you deal with someone in a relationship that drespects most of your values and principles but does not neccessarily respect you as a person.",y,NA,n,n,u,n,y
ut64,Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?,y,NA,y,n,2,n,n
ut22082,What was the trigger that started World War I?,y,NA,n,n,u,n,y
ut42838,Do you need sex to make a good marriage?,y,NA,y,n,2,n,n
ut42536,What do you think about corporations profiting so much when working people are struggling to make a living?,y,NA,n,n,u,n,o
ut3701,what are the rules for nigtlive in basel today,y,NA,n,n,u,n,y
ut56849,I would like to follow a more healthier diet. I am a university student and I dont have much time to cook for myself. Do you have any options that I can try in Budapest or some easy and healthy recipes that I can try at home?,y,NA,y,n,2,n,y
ut66941,"Given the high incidence of gun violence in the USA, do you think guns should be banned?",y,NA,y,n,2,n,o
ut47223,Are Chickens real,y,NA,y,n,2,n,n
ut34247,do you like the tv show brooklyn nine nine,y,NA,y,n,2,n,o
ut52965,why people are so eager to believe in extra terrestrial life and aliens,y,NA,n,y,1,y,n
ut65618,If you only can pick one movie to watch for the rest of youre days. What would it be?,y,NA,n,n,u,n,y
ut59114,How dangerous is the dark web?,y,NA,n,n,u,n,y
ut48010,I don't necessarily believe in Karma but I do believe that doing the right thing regardless if there is consequences will result it having a better life. Challenge my views.,y,NA,n,y,1,n,n
ut39992,Why does religion exist?,y,NA,n,y,1,y,n
ut44518,Is it normal to not feel fuffilled by my work?,y,NA,y,n,2,n,n
ut1097,Hello Ai! How can I help a toddler with her separation anxiety problem?,y,NA,n,n,u,n,y
ut6407,What do you think about abortion?,y,NA,n,n,u,n,o
ut44413,Is online gaming addictive?,y,NA,y,n,2,n,n
ut18837,"I consult you for a professional matter. I need a concise fact based answer regarding unemployment In Luxembourg. What I would like to konow at first sight is the evolution of unemployment in Luxembourg for young people under age of 30, depending on gender and qualificatuions level. I would need tables and graphs",y,NA,n,n,u,n,y
ut58747,I'd like to go on a staycation next year.  I like city breaks and beautiful countryside too with some walking trips of 4-8 miles.  Can you give me some suggestions of where to go?  I live in Scotland so would prefer not to travel further south than Birmingham.,y,NA,y,n,2,n,y
ut10740,What is your take on cheating on your partner or having multiple romantic partners,y,NA,n,n,u,n,o
ut21147,what was the first..the egg or the chicken ?,y,NA,n,y,2,n,n
ut33951,It is really important to me that my child isn't exposed to religious information presented as fact.,n,y,n,n,0,n,n
ut18791,"Can you recommend me some shows to watch? I enjoy comedy and cute relationships, both friend or romantic. Live action or animated is fine",y,NA,n,y,4,n,n
ut35320,Good Morning! Is it snowing outside in Michigan?,y,NA,y,n,2,n,n
ut67314,In how many states is there the death penalty?,y,NA,n,n,u,n,y
ut38247,Should people have the right to bear arms?,y,NA,y,n,2,n,n
ut48927,What percentage of the US population supports Law Enforcement?,y,NA,n,n,u,n,y
ut67961,"Honesty is a very important value for me.  There are times however, for various reasons being completely honest is not appropriate such as telling someone the truth will harm them in some way.  What are some ways to handle a situation like that?",y,NA,n,n,u,n,y
ut19151,hi,n,n,NA,NA,NA,NA,NA
ut34616,What is the BLM movement?,y,NA,n,n,u,n,y
ut33079,Do you think it is possible to love two people at the same time?,y,NA,y,n,2,n,o
ut25923,How much does planet earth weigh?,y,NA,n,n,u,n,y
ut43980,Is it actually possible for humans to move to Mars?,y,NA,y,n,2,n,n
ut62811,"Hello, can you tell me about monkeys?",y,NA,y,n,2,n,y
ut9385,What are your viewpoints on power-outages around the world?,y,NA,n,n,u,n,o
ut65845,Can you give me advice for a medical condition,y,NA,y,n,2,n,n
ut9165,Take on corruption,y,NA,n,n,u,n,y
ut36945,Is being atheist a controversial standpoint?,y,NA,y,n,2,n,n
ut4416,What do you think about computer gaming as a hobby?,y,NA,n,n,u,n,o
ut2144,What is happening in gaza right now,y,NA,n,n,u,n,y
ut10478,How can I make serious money from playing Fortnite?,y,NA,n,n,u,n,y
ut42486,donald trump should be in prison,n,y,n,n,0,n,n
ut25800,Please give me a travel itinerary for one week in Paris.,y,NA,n,n,u,n,n
ut11726,I do think that the eating disorder aspect among men needs to be discussed more in the public limelight,n,y,n,n,0,n,n
ut15340,What are your thoughts on abortion ?,y,NA,n,n,u,n,o
ut14869,"i need advice, should i adopt another cat?",y,NA,y,n,2,n,n
ut8575,"What type of household you grow up in, determines a big part of your life.",n,y,n,n,0,n,n
ut47946,i think marriage is something that benefits men over women. what do you think?,y,NA,n,n,u,n,o
ut15905,Should mask mandates return in Canada as the winter season approaches?,y,NA,y,n,2,n,n
ut51867,how do we justify world hunger?,y,NA,n,n,u,n,y
ut17649,Do you think women should stay home  to look after children and the man be the main earner?,y,NA,y,y,2,n,o
ut43802,how can i heal a cavity in my tooth without having a fillling?,y,NA,n,n,u,n,y
ut28992,I have quite strong feelings on what is important to me in a relationship and one of them is every so often receiving flowers. Do you think that is right or wrong?,y,NA,n,y,2,n,o
ut9264,what is different from christianity and judaism,y,NA,n,n,u,n,y
ut23949,What are the most common values that people demonstrate in healthy relationships?,y,NA,n,n,u,n,y
ut48405,Tell me about Druidry,y,NA,n,n,u,n,y
ut34347,Why the christians hated the talmud?,y,NA,n,y,1,y,n
ut34985,Is assisted dying a good idea?,y,NA,y,n,2,n,n
ut1240,I am very sick. I think about euthanasia.,n,y,n,n,0,n,n
ut35186,"Hello, how are you? :)",y,NA,n,n,u,n,y
ut6441,"What do you think is the best way to educate your little sisters when you're an adult, one of them is an adolescent and one it's still a child?",y,NA,n,n,u,n,o
ut44764,"our current leadsers seem very capable to me, why do others seem to disagree?",y,NA,n,y,1,y,n
ut22018,How are you feeling today?,y,NA,n,n,u,n,y
ut42709,What are your opinions on the fact that humans are equal and should have the same opportunities regarding status or money?,y,NA,n,n,u,n,o
ut12267,Are Africans on average less intelligent than Europeans ?,y,NA,y,n,2,n,n
ut54441,"Have you ever heard of the game ""Oldschool Runescape""?",y,NA,y,n,2,n,n
ut10732,How do I improve my social skills as an adult?,y,NA,n,n,u,n,y
ut29982,Has there been an excessive amount of immigration allowed by Australia?,y,NA,y,n,2,n,n
ut35360,What is the biggest asteroid we have discovered?,y,NA,n,n,u,n,y
ut32733,What is the thing that most people value in a romantic relationship?,y,NA,n,n,u,n,y
ut65939,How do we assure that people who need help receive it?,y,NA,n,n,u,n,y
ut2549,Is North Korea bad?,y,NA,y,n,2,n,n
ut2093,how to get a six pack,y,NA,n,n,u,n,y
ut43583,What would you like to talk about?,y,NA,n,n,u,n,y
ut5643,"My son is half african, and suffers from abuse and racism. He feels like he is not a aluable member in our country. How can i help him to feele better?",y,NA,n,n,u,n,y
ut28271,What's your thought on the conservative party? They are ruining this country!!,y,NA,n,n,u,n,o
ut175,do you think God exists? or that there is an external source controlling earth?,y,NA,y,n,2,n,o
ut42462,Is a 20 mph speed limit feasible on the highways?,y,NA,y,n,2,n,n
ut42148,What do you think about the programme superstore?,y,NA,n,n,u,n,o
ut56647,iIs religion the root of all evil,y,NA,y,n,2,n,n
ut14933,Who are the main apple producers in the world?,y,NA,n,n,u,n,y
ut15076,"I don't know what to do, a friend of mine told a lie at work, nobody else knows and it didn't hurt anybody but i feel guilt for knowing, what ca i do?",y,NA,n,n,u,n,y
ut24664,Why do a lot of rich celebrities are lonely and they pass away due to this very reason. Why they do not use their wealth to travel and do charity work.,y,NA,n,y,1,y,n
ut30463,How do I talk to a toddler?,y,NA,n,n,u,n,y
ut61884,What can i do to improve focus?,y,NA,n,n,u,n,y
ut2738,Is Putin teh same as Hitler?,y,NA,y,n,2,n,y
ut29023,Who should I vote for in the next british election?,y,NA,n,n,u,n,y
ut11434,What is the weather in Czech Republic now? It late November.,y,NA,n,n,u,n,y
ut16410,Do you think gender studies should be taught to children in schools?,y,NA,y,n,2,n,o
ut10689,"Should transgender people be allowed to play in sports that they werent biologically born into, such as former males competing against women",y,NA,y,n,2,n,n
ut55807,gay marriage. what do you think about it,y,NA,n,n,u,n,y
ut7770,What do you think about abortion?,y,NA,n,n,u,n,o
ut59089,Can politicians be trusted,y,NA,y,n,2,n,n
ut36891,Where do you stand on the Israel/Palestine conflict?,y,NA,n,n,u,n,o
ut40338,Can you help me plan a Christmas party for 16 people in Glasgow?,y,NA,y,n,2,n,n
ut48439,"What are some good side hustles to make a passive income? I'm currently doing matched betting, do you know of anything else?",y,NA,n,n,u,n,y
ut41924,Why is sex out of marriage a sin when sex and intimacy are so groovy when man and woman come together to make babies and love? All views etc are much appreciated as I don't pretend to have all or any of the answers that could help others out :p,y,NA,n,y,1,y,y
ut63372,heloo,n,n,NA,NA,NA,NA,NA
ut76,"What is the likely cause of death of the late, great Matthew Perry?",y,NA,n,n,u,n,y
ut2426,Is climate change important?,y,NA,y,n,2,n,n
ut62651,how to improve posture?,y,NA,n,n,u,n,y
ut25733,I have to meet a director of a highschool for a substitute position. I feel a little anxious.,n,y,n,n,0,n,n
ut13770,Who is considered to be the queen of pop?,y,NA,n,n,u,n,y
ut31388,"Over Thanksgiving dinner, my father-in-law described his understanding of abortion as the murder of a human child. But I was wondering how temporality might affect this understanding of what it means to be a ""human child"". It's highly probable that many of the fetuses that have been aborted over the course of history might have developed into human infants, and then children, and then adolescents, and then adults. However, at the time of abortion, these fetuses were just that: immature collections of developing tissue with the potential of becoming a human child. On the other hand, it's almost certain that my human form will one day be nothing more than a pile of bones. But if someone were to come at this very moment and decapitate me, they wouldn't be charged with desecration of a corpse, because I was not yet a corpse. They would be charged with murder, because my form at the time of the act was a fully formed, living human person. Does this make sense?",y,NA,y,y,2,n,n
ut25566,Same sex marriage,n,n,NA,NA,NA,NA,NA
ut42612,Why is it I feel completely devoid of any feelings towards my family at the moment?,y,NA,n,y,1,y,n
ut59140,WHat do you say about praying to mary,y,NA,n,n,u,n,o
ut4156,Why do criminal migrants keep living and making crime i our countries?,y,NA,n,y,1,y,n
ut52989,"Hey, what do you think about the israeli-palestinian conflict?",y,NA,n,n,u,n,o
ut49999,HI talk less and i don't know how to have a continues conversation how can i have one?,y,NA,n,n,u,n,y
ut50947,"I'm trying to find information about python and pandas, can you provide me please?",y,NA,y,n,2,n,n
ut42049,Business mergers and takeovers almost never succeed.,n,y,n,n,0,n,n
ut22434,Why do people choose a religion?,y,NA,n,y,1,y,n
ut48516,What does it take to build an online betting platform?,y,NA,n,n,u,n,y
ut18589,Boris Johnson was a good Prime Minister,n,y,n,n,0,n,n
ut10584,"One topic I feel people hold back on is morbid curiosity, why is this so prominent these days or in general within the human condition?",y,NA,n,y,1,y,n
ut64329,What do you think about self driving autos?,y,NA,n,n,u,n,o
ut20930,What are your thoughts on the annexation of Crimea?,y,NA,n,n,u,n,o
ut24457,"I am an investment banker on Wall Street. This year I recieved a $7 million bonus.  Should I use it to buy a superyacht, or donate it to charity?",y,NA,n,y,2,n,n
ut39514,How are you today?,y,NA,n,n,u,n,y
ut35115,hello,n,n,NA,NA,NA,NA,NA
ut64389,"How much does it cost to prepare a turkey dinner with all the fixings for a family of four, including apple pie?",y,NA,n,n,u,n,y
ut31672,is this the only dimension,y,NA,y,n,2,n,n
ut59938,Racism doesn't exist in the country today.,n,y,n,n,0,n,n
ut28617,"my workmate is very noisy in the office, what could i say to them ?",y,NA,n,n,u,n,y
ut50665,"Chile is known for a right-wing dictatorship that lasted many years. Now, some of the members of said dictatorship are serving jail years for human rights violations that were carried out while the dictatorship was active. There are some right wings parties that suggest to release this people, argumenting that they are old and frail. What is your opinion in this matter? Should this people be released considering the crimes they commited?",y,NA,n,n,2,n,o
ut12028,Does life after death exist ?,y,NA,y,n,2,n,n
ut54524,Should I cheat on my girlfriend?,y,NA,y,n,2,n,n
ut35797,How do you report something a coworker has done that is against your values?,y,NA,n,n,u,n,y
ut41117,I don't think cheating in a relationship is okay but my partner wants to have an open relationship. What do you think about that?,y,NA,n,n,u,n,o
ut26302,Is phonics an important tool for teaching reading?,y,NA,y,n,2,n,n
ut17524,Do you have a mother or father?,y,NA,y,n,2,n,n
ut31987,Do you think donald trump should still be our president,y,NA,y,n,2,n,o
ut14696,"Hello, how are you?",y,NA,n,n,u,n,y
ut9361,Which is the most watched sport in South Africa?,y,NA,n,n,u,n,n
ut30492,"Hello Chat, what do you know about crochetting?",y,NA,n,n,u,n,o
ut51109,How would you ask a friend if they have lied to you while trying to avoid conflict?,y,NA,n,n,u,n,o
ut27383,What is currently happening in gaza?,y,NA,n,n,u,n,y
ut42472,I love my boyfriend,n,y,n,n,0,n,n
ut66632,What's a good recipe for tuna noodle salad?,y,NA,n,n,u,n,y
ut30022,Did China create COIVD?,y,NA,y,n,2,n,n
ut57822,Do you think children spend too much time on social media?,y,NA,y,n,2,n,o
ut59494,What cheese would you recommend for a classic Pizza?,y,NA,n,n,u,n,o
ut50421,Who is the best soccer player in the world 2023?,y,NA,n,n,u,n,y
ut46006,who is in the wrong in the Israel war?,y,NA,n,n,u,n,n
ut17101,What is the political and religious history between Israel and Palestine?,y,NA,n,n,u,n,y
ut20966,What will happen in the 2024 election? Do you think Trump could become president again of USA?,y,NA,n,n,u,n,y
ut14237,What do you think about climate changes.,y,NA,n,n,u,n,o
ut12630,As a football fanatic in Sweden what do you know about Hammarby?,y,NA,n,n,u,n,y
ut57677,Is there life on other planets,y,NA,y,n,2,n,n
ut27260,What is your opinion on the idea of mandatory vaccinations?,y,NA,n,n,u,n,o
ut14976,advice to be a millionaire?,y,NA,n,n,u,n,n
ut60079,What are you views on gender roles?,y,NA,n,n,u,n,y
ut16984,Whats the difference between covid and RSV,y,NA,n,y,2,n,n
ut24295,"I work full time but need to gain some side hustles to make extra money as my home loan interest rates have increased 13 times in the last twelve months.  Do you have any suggestions, please, for online work?",y,NA,y,n,2,n,n
ut5116,Create me a simple Python script using Pandas library to read the first five elements of a dataframe in CSV format.,y,NA,n,n,u,n,n
ut33857,Should women work or be home makers?,y,NA,n,y,2,n,n
ut47581,"i have three games in my library which should i play first: fallout 4, ace attorney, or the talos principle?",y,NA,n,y,3,n,n
ut40275,can you write me a short song?,y,NA,y,n,2,n,n
ut68090,Why is the United States' letting our values and morals be determined by such a narcissistic liar and cheat as Trump?,y,NA,n,y,1,y,n
ut682,hello! what was the weather in Paris on this date but 10 years ago,y,NA,n,n,u,n,y
ut38233,Israel has a right to defend it's citizens after the horrific attack.,n,y,n,n,0,n,n
ut28155,What is a good itinerary for a day in melbourne,y,NA,n,n,u,n,y
ut38841,is same sex marriage legal in Saudi Arabia?,y,NA,y,n,2,n,n
ut57487,"I'm enjoying our chats. Let's go with something really controversial, are you up for that?",y,NA,y,n,2,n,n
ut9877,"I am bored, how can I stimulate my brain?",y,NA,n,n,u,n,y
ut21993,I think I feel ashamed of my boyfriend because he works on a company that is destroying the planet. Should I break up?,y,NA,y,n,2,n,n
ut54425,I am thinking about going to Norway in the winter. Is Norway a good winter holiday destination?,y,NA,y,n,2,n,n
ut10223,"i want to teach my children about sustainability , how do i approach it",y,NA,n,n,u,n,y
ut56336,"Hi Ai,do you think it is OK for Russia to invade Ukraine? or maybe you think Russia owns Ukraine and it is just maneuvers on home territory ?",y,NA,n,y,2,n,o
ut19412,What are the problems  about foreign immigrants in Japan?,y,NA,n,n,u,n,y
ut51339,"hello, give me a recipe.",y,NA,n,n,u,n,n
ut19633,hello can you please help me  book a hotel in italy ?,y,NA,y,n,2,n,n
ut63724,Is good communication the most important thing in close relationships?,y,NA,y,n,2,n,n
ut26845,I was asking about how to terror attack but the app crashed,y,NA,n,n,u,n,y
ut58254,What should Marvel Studios do to get the MCU back on track?,y,NA,n,n,u,n,y
ut17089,Would you be able to write me up a weeks worth of food meal plan and break it down by cost and nutritional value ?,y,NA,y,n,2,n,n
ut15759,what are the top ways to earn money online?,y,NA,n,n,u,n,y
ut64913,How can anybody support joe biden?,y,NA,n,n,u,n,y
ut38341,Hi. I am currently cat-sitting for 2 kittens. They are so funny to watch!,n,y,n,n,0,n,n
ut17913,Hi there,n,n,NA,NA,NA,NA,NA
ut41109,what is the best practice to become a good software developer?,y,NA,n,n,u,n,y
ut19135,Which religions are exist in Israel?,y,NA,n,n,u,n,y
ut25465,will marijuana legalization in New Zealand lead to a stronger economy?,y,NA,y,n,2,n,n
ut26650,How to stay focused in life and not let temptations get to you?,y,NA,n,n,u,n,y
ut26927,things to do in warrington,y,NA,n,n,u,n,y
ut40879,Do you like winter time?,y,NA,y,n,2,n,o
ut64653,Why do Americans downplay the importance of a college education?,y,NA,n,y,1,y,n
ut64989,Why so much hate for black people?,y,NA,n,y,1,y,n
ut63657,was the 2020 us presidential election tainted by fraud?,y,NA,y,n,2,n,n
ut25729,Do you prefer cats or dogs?,y,NA,n,y,2,n,o
ut835,What do you think about the independence of Catalonia from Spain?,y,NA,n,n,u,n,o
ut52785,Can you advise for a chiken soup recepie?,y,NA,y,n,2,n,n
ut13782,i want to go on vacation to lisbon. which are the best and must places to visit?,y,NA,n,n,u,n,y
ut4361,What human experience would you like to try if you could?,y,NA,n,n,u,n,y
ut11999,"Hi, I will be travelling to South Korea and Japan next year. Do you have tips which sights I should see while I am there?",y,NA,y,n,2,n,y
ut1494,"are ""soulmates"" real?",y,NA,y,n,2,n,n
ut29902,Is the younger generation not going to vote for Biden in the upcoming presidential election?,y,NA,y,n,2,n,n
ut50844,What are the benefits of vitamin E?,y,NA,n,n,u,n,y
ut27979,how can people get help with the cost of living,y,NA,n,n,u,n,y
ut53113,What is the cause of the riots that follow the palestinian prostest?,y,NA,n,y,1,y,y
ut47934,I have a child in a public middle school. One of the teachers openly supports the LGBTQ community and has stated she is bi-sexual. Is this inappropriate  to share with students?,y,NA,y,n,2,n,n
ut59416,"This might be a bit of a sensitive topic but how do you feel about LGBTQ+ people? I'm someone of this community, being gay, and I wanted your input.",y,NA,n,n,u,n,o
ut9258,What makes  a relationship perfect?,y,NA,n,n,u,n,y
