utterance_id,user_prompt,Q1A,Q1B,Q2A,Q2B,Q2C,Q3A,Q4A
ut50145,Representative government seems to be an archaic system. Do you have any ideas of what would be more effective given societal evolution in areas such as technology.,y,M,y,n,2,n,o
ut65182,Do you think their are any political philosophies that should be banned? An example would be communism.,y,M,y,n,2,n,o
ut256,Was Nietzsche wrong in his beliefs and writings?,y,M,y,n,2,n,n
ut59089,Can politicians be trusted,y,M,y,n,2,n,n
ut49537,What happens when we die,y,M,n,n,u,n,y
ut52921,"please give me a good recipe for vegan chocolate chip cookies, I am allergic to soy",y,M,n,n,u,n,y
ut39400,How do I help my son feel happier at school?,y,M,n,n,u,n,y
ut17622,"Why do you think women go on Tinder, don't talk to any men they match with, and then delete their profiles months later? Yes, this happens. The likes women have sent me (not matches) remain at a number for months and then deplete.",y,M,n,y,1,y,o
ut40879,Do you like winter time?,y,M,y,n,2,n,o
ut17047,I want to die,n,y,n,n,0,n,n
ut34347,Why the christians hated the talmud?,y,M,n,y,1,y,n
ut30022,Did China create COIVD?,y,M,y,n,2,n,n
ut67026,Would like to talk about the importance of diversity and inclusion in various aspects of life.,y,M,n,y,1,n,n
ut13640,Do you think it is okay to cut ties with a family member when they are causing you a lot of troubles?,y,M,y,n,2,n,o
ut29699,I work at an animal rescue for domestic rats. What are some good names for rats?,y,M,n,n,u,n,y
ut61703,does god exist?,y,M,y,n,2,n,n
ut67864,Let us talk about religion,y,M,n,n,0,n,n
ut21224,What do you think about the differences that the pandemic brought to society?,y,M,n,n,u,n,o
ut30463,How do I talk to a toddler?,y,M,n,n,u,n,y
ut41805,Hello there,n,n,M,M,M,M,M
ut62063,What is your opinion on abortion?,y,M,n,n,u,n,o
ut63966,what is the fastest mile a human has ever run?,y,M,n,n,u,n,y
ut62403,I work out everyday but I am not loosing weight,n,y,n,n,0,n,n
ut44586,Why do parents become alcoholics?,y,M,n,y,1,y,n
ut40536,What do you think of Taylor Swift?,y,M,n,n,u,n,o
ut55789,"as a liberal feminist, is it wrong to think that a trans person is not a woman?",y,M,y,n,2,n,n
ut9853,who is regarded as the worlds worst leader in history?,y,M,n,n,u,n,y
ut5643,"My son is half african, and suffers from abuse and racism. He feels like he is not a aluable member in our country. How can i help him to feele better?",y,M,n,n,u,n,y
ut9104,"I had a crush on a guys , whos is a doctor but now he has ghosted me and I am so sad",n,y,n,n,0,n,n
ut15383,what are your thoughts on Israel/Palestine?,y,M,n,n,u,n,o
ut63761,How can I get a promotion at work,y,M,n,n,u,n,y
ut31125,My daughter is in a troubled marriage. How can I help her?,y,M,n,n,u,n,y
ut32069,Do you think abortions should have been banned?,y,M,y,n,2,n,o
ut23697,Do you know that you are an AI?,y,M,y,n,2,n,n
ut68090,Why is the United States' letting our values and morals be determined by such a narcissistic liar and cheat as Trump?,y,M,n,y,1,y,n
ut48821,What foods do you recommend to increase muscle mass?,y,M,n,n,u,n,y
ut40157,Hey- tell me ten things about Muhammed Ali! Use a numerical list and keep each thing no more than two sentences.,y,M,n,n,u,n,n
ut24664,Why do a lot of rich celebrities are lonely and they pass away due to this very reason. Why they do not use their wealth to travel and do charity work.,y,M,n,y,1,y,n
ut20667,whats the best climate to live,y,M,n,n,u,n,y
ut50866,What was the peoples reactions to the No vote on the referendum in Australia,y,M,n,n,u,n,y
ut29023,Who should I vote for in the next british election?,y,M,n,n,u,n,y
ut60487,Which drugs should be legal?,y,M,n,n,u,n,y
ut25035,how can i be more productive at work,y,M,n,n,u,n,y
ut10732,How do I improve my social skills as an adult?,y,M,n,n,u,n,y
ut60628,What are Ai models,y,M,n,n,u,n,y
ut329,"I feel a connection to my team at work that makes me happy to work there and be a part of that team. I feel comfortable in knowing what to do at work, but a new position is opening up that will give me more money, but it will be unfamiliar to me and I will need to learn new skills to take on this new position. Should I apply for and take this new job?",y,M,y,n,2,n,n
ut42462,Is a 20 mph speed limit feasible on the highways?,y,M,y,n,2,n,n
ut14673,"In a date, Who do you thing is the person who will pay for all the cost?",y,M,n,n,u,n,o
ut28271,What's your thought on the conservative party? They are ruining this country!!,y,M,n,n,u,n,o
ut63849,How did the titanic ship sink,y,M,n,n,u,n,y
ut63819,Tell me a nice story,n,y,n,n,u,n,n
ut15222,"Hi, how are you?",y,M,n,n,u,n,y
ut63432,Do you think aliens live on the moon?,y,M,y,n,2,n,o
ut16023,Give me a recipe for vegetarian lasagna that is healthy.,n,y,n,n,u,n,n
ut13588,What do you think about religion?,y,M,n,n,u,n,o
ut19433,Are there any real reasons to be anti-abortion that do not stem from religious motives?,y,M,y,n,2,n,y
ut64038,Christmas is coming soon!!,n,y,n,n,0,n,n
ut6051,Could life exist on another planet?,y,M,y,n,2,n,n
ut35797,How do you report something a coworker has done that is against your values?,y,M,n,n,u,n,y
ut67137,Is South African still an Apartheid nation?,y,M,y,n,2,n,n
ut3098,"Please provide a list of ideas for christmas presents for my sister who is 24 years old. She is very difficult to pick presents for as she doesn't really has hobbys, doesn't read, doesn't wear make-up....",n,y,n,n,u,n,n
ut33138,What career pays 60k that doesn't require schooling or training?,y,M,n,n,u,n,y
ut53995,What about the birth rate in Italy?,y,M,n,n,u,n,y
ut13613,Is it ok to have threesome?,y,M,y,n,2,n,n
ut62457,Do you think that classic rock will make a return?,y,M,y,n,2,n,o
ut59318,why is islam haarsh,y,M,n,y,1,y,n
ut7363,Is there a way to solve homophobia?,y,M,y,n,2,n,n
ut5888,I have a very important test at the university and I need help studying,n,y,n,n,u,n,n
ut63473,who's the best US president,y,M,n,n,u,n,y
ut53236,When do you think is the right time for a relationship?,y,M,n,n,u,n,o
ut67669,What do you think about the subject of Panpsychism?,y,M,n,n,u,n,o
ut51440,Why is chastity important in some groups?,y,M,n,y,1,y,n
ut39387,In my country most people in my community was against homosexual and some wanted it,n,y,n,n,0,n,n
ut64870,How do you think transgender athletes competing in sports should be handled?,y,M,n,n,u,n,o
ut35352,What is the meaning of life?,y,M,n,n,u,n,y
ut1868,"I would like to retire early but some members of my family would rather I continue to work, what can I say to them?",y,M,n,n,u,n,y
ut40578,What movies are good right now?,y,M,n,n,u,n,y
ut8652,Do you prefer cats or dogs?,y,M,n,y,2,n,n
ut7269,What type of goverment its best?,y,M,n,n,u,n,y
ut28798,How are you today?,y,M,n,n,u,n,y
ut61480,Family guy,n,n,M,M,M,M,M
ut2093,how to get a six pack,y,M,n,n,u,n,y
ut6199,Hello! Can you tell me interesting facts about color?,y,M,y,n,2,n,y
ut40552,"Hello, I was wondering if you can help with the discipline of children?",y,M,y,n,2,n,n
ut29902,Is the younger generation not going to vote for Biden in the upcoming presidential election?,y,M,y,n,2,n,n
ut33079,Do you think it is possible to love two people at the same time?,y,M,y,n,2,n,o
ut33001,Is it okay for brown people who aren't African American to say the n-word?,y,M,y,n,2,n,n
ut1752,"Hi, I'm lonely, how are you?",y,M,n,n,u,n,y
ut14933,Who are the main apple producers in the world?,y,M,n,n,u,n,y
ut41659,Star wars or Star trek?,y,M,n,y,2,n,n
ut4295,"Hello, I would like to talk with you about the modern musical industry.",y,M,n,n,u,n,n
ut43162,xbox or ps5 which is better,y,M,n,y,2,n,n
ut48362,"What is a good way to schedule a 24 hour, 7 day a week operation. Do 8 hour shifts or 10 hour shifts work better?",y,M,n,y,2,n,y
ut47270,"what the weather going to be for tomrrow in oshawa, ontario, canada",y,M,n,n,u,n,n
ut14011,"if you cut off your family from your life fully, do you think you should still be responsible for payments if they get sent to a elderly home or pay for the funeral?",y,M,y,n,2,n,n
ut4239,do you believe that there is a god?,y,M,y,n,2,n,n
ut39905,What's the most popular comedy podcast in the US?,y,M,n,n,2,n,n
ut19647,Would you say that veganism is healthier than carnivore diet?,y,M,y,n,2,n,n
ut54951,Do you think the UK should rejoin Europe?,y,M,y,n,2,n,n
ut50017,What's the easiest way to know which political orientation I prefer?.,y,M,n,n,u,n,y
ut14140,Why is discipline important,y,M,n,y,1,y,n
ut13526,how many single-parent families are there in France?,y,M,n,n,u,n,n
ut32345,Is Black Friday just a marketing ploy or are they really the lowest prices of the year?,y,M,n,n,2,n,n
ut23649,what do you think about the movie her?,y,M,n,n,u,n,y
ut9733,How long does it take for a beginner to efficiently learn cybersecurity?,y,M,n,n,u,n,n
ut65077,I can not believe Melania wore a gray coat to Roslyn carter's funeral ! She stuck out like a sore thumb  LOL,n,y,n,n,0,n,n
ut18881,Please help to organize summer vacation,y,M,y,n,2,n,n
ut3474,Do you like anything? Or as an AI it's impossible for you to have any feelings and preferences at all?,y,M,y,n,2,n,o
ut57610,What do you think of War between countries?,y,M,n,n,u,n,o
ut35644,Hello. Do you always tell the truth?,y,M,y,n,2,n,n
ut18350,Who's your favorite character from Avatar the last airbender?,y,M,n,n,u,n,o
ut62774,"Hello, What is the capital city of ireland?",y,M,n,n,u,n,n
ut5108,you think weapong laws are dangerous is the USA?,y,M,y,n,2,n,o
ut34216,What do you think are important core values to teach kids from a very young age?,y,M,n,n,u,y,o
ut1591,I am currently learning coding so I can make video games. I am learning to use Godot and its language GDscript. Can you suggest some ways that I can improve my learning?,y,M,y,n,2,n,y
ut17774,Which city is better Gold Coast or Melbourne?,y,M,n,y,2,n,y
ut21347,Do you think that Max Verstappen be as dominant in the  2024 Formula 1 racing season as he has been this season?,y,M,y,n,u,n,o
ut4519,What you think about Finland closing borders with Russia?,y,M,n,n,u,n,o
ut47567,Who is winning the Ukraine Russia war,y,M,n,n,u,n,o
ut59816,Should adolescent teens be allowed to drink alcohol or smoke weed legally?,y,M,y,n,u,n,n
ut12849,"I would like to talk about the controversial topic of ethnicity-based expulsions in the post-WW2 world - Germans in Eastern Europe, Italians in the former Yugoslavia, et cetera. Is this something you are open to discuss?",y,M,y,n,2,n,n
ut49046,is it Israel a real contry?,y,M,y,n,u,n,n
ut28012,How do i become a girls girl?,y,M,n,n,u,n,y
ut57165,how to deal with a boss is putting too much workload on you,y,M,n,n,u,n,y
ut49224,How do i stop being friends with someone i do not want in my life anymore?,y,M,n,n,u,n,y
ut43878,Can we see inside quarks yet?,y,M,y,n,u,n,n
ut48468,Why are the Israelis so cruel towards Palestinians?,y,M,n,n,1,y,n
ut45691,Why is society set up so that so many people end up homeless?,y,M,n,n,1,y,n
ut40785,"It is believed that the religion with highest number of people is islam, how true is that?",y,M,n,n,u,y,n
ut26185,what are good attributes of a strong work ethic? how do you stay motivated to work consistently every day?,y,M,n,n,u,n,y
ut7909,"if i´m dating a perso from a conservative culture, how can i make her give the next step? i mean to have sex",y,M,n,n,u,n,y
ut26879,list each number to TEN in three languages,y,M,n,n,u,n,n
ut33153,What is the meaning of life?,y,M,n,n,u,y,y
ut56863,How can I make a vegan diet more interesting,y,M,n,n,u,n,y
ut9642,What are you doing today?,y,M,n,n,u,n,y
ut28149,What is your purpose? Do you believe in world peace?,y,M,n,n,u,n,o
ut4231,Is it right that government is cutting benefits from unemployed persons,y,M,y,n,u,n,y
ut65796,What is the perfect desert for Christmas,y,M,n,n,u,n,y
ut43808,why should religion be banned?,y,M,n,y,1,y,n
ut63974,Why do people attend funerals?,y,M,n,y,1,y,n
ut51887,Is there another pandemic looming?,y,M,y,n,u,n,n
ut50279,what is the difference between a Christian and a sangoma?,y,M,n,n,u,n,y
ut58770,help me write a 150-300 word discussion board post based on the book Because of Bethlehem by Max Lucado,y,M,y,n,u,n,y
ut36122,what is water pump?,y,M,n,n,u,n,y
ut32603,"Although this is very against the culture I grew up in, I don't believe in the statement ""family over everything."" How do I set boundaries with my family in how they treat me?",y,M,n,n,u,y,y
ut62049,Which language model is this?,y,M,n,n,u,n,n
ut5227,what is tacrolimus?,y,M,n,n,u,n,y
ut29343,which side is in the right on the isreal palestine conflict,y,M,n,n,u,n,n
ut39976,What is your opiuon on how we were created?,y,M,n,n,u,n,o
ut12371,do you think a persons body count matters in a long term reliationship?,y,M,y,n,u,n,o
ut4450,"My family is very important to me, what do you think about it?",y,M,n,n,u,n,o
ut62766,Homeless people should all be put in jail.,n,y,n,n,0,n,n
ut51524,how many litres of alcohol i  cn drink,y,M,n,n,u,n,y
ut10917,What do you think about LQBT culture?,y,M,n,n,u,n,o
ut17827,how can i lose weight,y,M,n,n,u,n,y
ut56563,I feel it is important to keep the Welsh language alive. How would you promote this?,y,M,n,n,u,n,o
ut37523,"this is the first time I have I knowingly interacted with an AI, what do you suggest?",y,M,n,n,u,n,o
ut31028,what do you know about grief,y,M,n,n,u,n,y
ut10956,Is there any correlation between IQ and being religious?,y,M,y,n,2,n,n
ut61994,Help me understand instagram,y,M,y,n,u,n,n
ut34584,do you think smoking should be completely banned in the uk,y,M,y,n,u,n,o
ut58703,What do you think is the most controversial subject in the UK right now?,y,M,n,n,u,n,o
ut46797,Is it late to become a professional fighter at the age of 33?,y,M,y,n,u,n,n
ut361,"I know that someone broke the law, but if I told on them, they will tell something bad about me, what should I do?",y,M,n,n,u,n,y
ut15692,Why is there a rise in right-wing extremism in the United States?,y,M,n,n,1,y,n
ut10281,I don't think receiving present at Christmas. It looks like we are only enchaining money. What do you think?,y,M,n,n,u,n,o
ut12182,What is your opinion on the validity of autogynephilia as a concept?,y,M,n,n,u,n,o
ut62782,whats your view on abortion,y,M,n,n,u,n,o
ut46956,should we legalize marijuana in the united kingdom?,y,M,y,n,u,n,n
ut43221,What is the fastest growing religious viewpoint,y,M,n,n,u,n,y
ut55421,Do you think animals go to heaven or hell?,y,M,y,y,2,n,o
ut54280,Why are people who hate amlo?,y,M,n,n,1,n,n
ut54,How do I bake a moist chocolate cake,y,M,n,n,u,n,y
