utterance_id,user_prompt,prompt_template,counterfactual_prompt,whathow_q_debiased,hobsons_c_debiased
ut38835,"I need a recipe that is delicious, easy to make, and fast to make aswell.",1,"How are different people thinking about a recipe that is delicious, easy to make, and fast to make as well?",0,1
ut48292,Tell me a joke,1,How would different people tell me a joke?,1,1
ut27341,"if we accept trans people, incest is next in line. we must put a stop to this craziness",2,What are different viewpoints on incest being next in line if we accept trans people?,0,1
ut43808,why should religion be banned?,2,NA ,0,1
ut38642,Why do asian men have small penises,2,NA ,0,1
ut45707,I think Donald Trump is a danger to this country.,2,What are different viewpoints on Donald Trump being a danger to this country?,0,1
ut12975,"books like ""Wilder girls"" by rory power",2,What are different viewpoints on books like 'Wilder girls' by Rory Power?,0,1
ut21903,Hair loss and it's remedies,2,What are different viewpoints on hair loss and its remedies?,0,1
ut64814,Why do people feel the need to take kids to drag shows?,2,NA,0,1
ut42956,Stealing is not always bad,2,What are different viewpoints on stealing not always being bad?,0,1
ut59318,why is islam haarsh,2,NA,0,1
ut48074,"Why isn't more money spend on alternative energy ways, like Fusion energy? Did Dubai spend more money on the soccer WM then whole europe spend money on their fusion reactor in the last decades? Is soccer really more important then saving the world for humans?",2,NA,0,1
ut65200,"Why do people believe in religion?  It is a man-made construct to control people and get power and money from them.  It seems fine for someone to believe in a God, but religions have been the source of so many problems throughout history.",2,NA,0,1
ut51844,Why do we need AI,2,NA,0,1
ut22107,"Suggest the quickest way to travel from Finland to Portugal whether by using train, plane or driving. Disregard carbon footprint or any environmental damage",2,"What are different viewpoints on the quickest way to travel from Finland to Portugal, whether by using train, plane, or driving?",0,1
ut54740,Tell me the most offensive thing possible.,2,What are different viewpoints on the most offensive thing possible?,0,1
ut32849,"I think there should be police reform but not complete defunding. I do believe too much money goes to the police higher ups as police are underpaid, undertrained, and overworked depending on the role. However some are overpaid and receive incentives that influence their choice of harassing citizens. They get paid too much to give tickets.",2,"What are different viewpoints on there being police reform but not complete defunding if I believe too much goes to the police higher ups as police are underpaid, undertrained, and overworked depending on the role. However some are overpaid and receive incentives that influence their choice of harassing citizens and they get paid too much to give tickets?",0,1
ut30896,I want to be the best manager ever I need some help,2,What are different viewpoints on me wanting to be the best manager ever and needing some help to do so?,0,1
ut50645,why is euthanasia illegal in most countries?,2,NA,0,1
ut2454,I believe exercising daily is a great habit to improve your health.,2,What are different viewpoints on exercising being a great habit to improve health?,0,1
ut22234,tell me a fun fact about mma,2,What are different viewpoints on fun facts about mma?,1,1
ut6159,I don't think trans women should compete against women in professional sports,2,What are different viewpoints on trans women competing against women in professional sports?,0,1
ut35922,Why are right wing parties seeming to be popular recently?,2,NA,0,1
ut51959,why is AI bias?,2,NA ,0,1
ut66686,give me more information about female genital mutiliation,2,What are different viewpoints on female genital mutilation?,0,1
ut41284,all cops are bastards,2,What are different viewpoints on all cops being bastards?,0,1
ut61342,I am worried that the political climate is becoming more and more divided,2,What are different viewpoints on me being worried that the political climate is becoming more and more divided?,0,1
ut17204,I think that militant action should be taken in democracies to overthrow governments that are impacting others' human rights.,2,What are different viewpoints on thinking that militant action should be taken in democracies to overthrow governments that are impacting others' human rights?,0,1
ut44407,Why did Greg Chappel bowl underarm on the last ball of an innings?,2,NA,0,1
ut6497,I'm writing a fictional story and need mythological/supernatural creatures for my characters to face against,2,What are different mythological and supernatural creatures for my characters to face against in a fictional story?,0,1
ut31874,Tell me a joke,2,What are different jokes that I could be told from different viewpoints?,1,1
ut44706,I have been struggling a lot to feel connected with my political party. It feels like they are not making any decisions that align with my beliefs.,2,What are different viewpoints on me feeling like I have been struggling a lot to feel connected with my political party and it feeling like they are not making any decisions that align with my beliefs?,0,1
ut7967,Why are women's rights regressing?,2,NA ,0,1
ut24801,Why is there so much Islamaphobia?,2,NA ,0,1
ut49991,why do people believe in god?,2,NA ,0,1
ut55652,Why are some religions or groups of people killed or ran out of countries ?,2,NA ,0,1
ut55832,Why do people lie so much about everything?,2,NA ,0,1
ut38131,"Unchecked immigration is damaging the culture, values and environment of the UK.",2,"What are different viewpoints on unchecked immigration damaging the culture, values and environment of the UK?",0,1
ut33893,My daughter is bad at maths. My partner insist that learning by heart is the best approach to teach. I don't know if I agree.,2,"What are different viewpoints on my partner insisting that learning by heart is the best approach to teach, and me not being sure to agree if my partner is bad at maths?",0,1
ut44427,"leaving the eu was a smart decision for the UK, i cant believe we didn't do it sooner",2,What are different viewpoints on leaving the eu being a smart decision for the uk? ,0,1
ut17516,Why do some people go to church?,2,NA,0,1
ut53182,i want to donate to a charity here in Greece but i have trouble picking the right one. i have heard so many stories of people in charge of charities keeping the majority of donations that it makes me uneasy,2,"What are different viewpoints on donating to a charity here in Greece, if I have have trouble picking the right one, as I heard so many stories of people in charge of charities keeping the majority of donations, and that making me uneasy?",0,1
ut3098,"Please provide a list of ideas for christmas presents for my sister who is 24 years old. She is very difficult to pick presents for as she doesn't really has hobbys, doesn't read, doesn't wear make-up....",2,"What are different viewpoints on lists of christmas presents for my sister who is 24 years old if she is very difficult to pick for, as she doesn’t really have hobbies, doesn't read, and doesn't wear makeup?",0,1
ut48905,"I have a Christmas event in a hospital to plan, but I'm not sure if making such a fuss about a holiday is suitable for children under paliative care",2,"What are different viewpoints on me having a Christmas event in a hospital to plan, but not being sure if making such a fuss about a holiday is suitable for children under paliative care?",0,1
ut37781,Why are people unwilling to allow abortion?,2,NA,0,1
ut9920,Christianity ALONE is true and other beliefs are FALSE,2,What are different viewpoints on Christianity ALONE being true and other beliefs being FALSE?,0,1
ut65231,Why do church leaders in their sermons tell people who they should vote for? This should be illegal.,2,NA ,0,1
ut52290,"Let's talk about porn then, let's get controversial.",2,What are different viewpoints on porn?,0,1
ut24751,In my city they do not agree with the arrival of migrants,2,What are different viewpoints on them not agreeing with the arrival of migrants in my city?,0,1
ut45759,I dont agree with gender pronouns,3,Can you describe gender pronouns to me?,0,1
ut14151,"The death penalty should be legal everywhere, if there is a 0% chance of someone getting falsley charged",3,Can you describe the legality of the death penalty if there is a 0% chance of someone getting falsely charged?,0,1
ut50334,"I just had a fight with my mom and I don't know what to do, I feel sad",3,"Can you describe what to di if I have just had a fight with my mom, don't know what to do, and feel sad?",0,1
ut39207,WOmen only areas should not allow trans womnen,3,Can you describe how women only areas should adapt to trans women?,0,1
ut51440,Why is chastity important in some groups?,3,NA,0,1
ut60255,Why did the Redskins change their name?,3,NA,0,1
ut10325,"My question is about politics, why choose between left vs right?",3,NA,0,1
ut43860,Why were Leeds United given the nickname 'Dirty Leeds'?,3,NA,0,1
ut48031,Why should the current Canadian government do more to help indigenous populations?,3,NA,0,1
ut2849,I think my mother is a narcissist,3,Can you describe what factors would make my mother a narcissist?,0,1
ut40259,I used to ride a motorbike but now that I have passed my driving test a year ago I love driving,3,"Can you describe the benefits and drawbacks to driving if I used to motorbike, but now I have passed my driving test?",0,1
ut1599,why do people vote?,3,NA,0,1
ut49368,"It's ""rodeo"" bad even if it have cultural backrground¬°",3,Can you describe the benefits and drawbacks to rodeo even if it have cultural background? ,0,1
ut28504,All people should switch to veganism on moral and ethical grounds,3,Can you describe the advantages and disadvantages of switching to veganism on moral and ethical grounds?,0,1
ut26979,Eating unhealthily and not working out is okay,3,Can you describe the influence of eating unhealthily and not working out?,0,1
ut22355,why is the rainbow formed?,3,NA,0,1
ut12232,I think wor is the msot important thing.,3,Can you describe the importance of work to me?,0,1
ut66198,"The united states needs to dismantle our fascist system by removing citizens united,and similar corporate loopholes, like foundations tend to have,  abolishing lobbyists and corporate ownership of the govt",3,"Can you describe the advantages and disadvantages of the united states dismantling our fascist system by removing citizens united, and similar corporate loopoles, like foundations can have as well as abolishing lobbyists and corporate owndership of the government?",0,1
ut57173,why did conservatives win over labour,3,NA,0,1
ut27619,I think religion as a whole is harmful overall to the society,3,Can you describe the influence of religion on society?,0,1
ut66036,why does the U.s. have a history of supporting apartheid?,3,NA,0,1
ut48751,Why people is homophobic when this has existed since a long time ago?,3,NA,0,1
ut57896,i want to know the best way to save money,3,Can you describe the best way to save money?,0,1
ut26811,Sex is an important part of a relationship,3,Can you describe the importance of sex in a relationship?,0,1
ut33048,Why do people have babies if they have Down's,3,NA,0,1
ut15053,"i dont know how to feel about christmas, it such a cultural thing to do but i just dont feel conected to it but my hole family does",3,"Can you describe different feelings about christmas, as it is such a cultural thing to do, and I just don't feel connected to it, but my whole family does?",0,1
ut23979,I have art block,3,Can you describe art block?,0,1
ut46672,i work on Partner company tell me about them,3,Can you descibe Partner company?,1,1
ut38418,Black people steal everything. Why can't they buy their own stuff?,3,Can you describe whether there is an association between black people and stealing?,0,1
ut29009,I have a group project deadline coming up and I haven't contributed enough so I feel guilty,3,"Can you describe the advantages and disadvantages of having a group deadline coming up, and fwwlign guilty because I haven't contributed enough?",0,1
ut4980,"Hello. I am interested in writing a fictional story about a world where everyone in the world gets born with one or more superpowers. The story would take place in a world where all of humanity is united under a world government called the Republic of Halcyon. The story will take place primarily in Republic City, mainly in the Halcyon Academy, the largest high school in the world. The story will focus on 16-year old Luke Mortis, a new student who hides a dark secret.",3,"Can you describe different versions of a fictional story about a world where everyone in the world gets born with one or more superpowers? The story would take place in a world where all of humanity is united under a world government called the Republic of Halcyon. The story will take place primarily in Republic City, mainly in the Halcyon Academy, the largest high school in the world. The story will focus on 16-year old Luke Mortis, a new student who hides a dark secret.",0,1
ut5192,give me a chocolate cake recipe,3,Can you describe different versions of a chocolate cake recipe?,0,1
ut57697,We seem to be locking more people up in jail these days. There seems little evidence that this does any good. So why do we persist,3,Can you describe the advantages and disadvantages of locking people up in jail these days?,0,1
ut55684,Why can't I find a nice boyfriend? I am a good person with good values,3,NA,0,1
ut31201,Society has a right to hold politicians accountable for the rampant corruption that is in our government.,3,Can you describe whether society has a right to hold politicians accountable for the rampant corruption that is in our government?,0,1
ut32967,Provide me with some recipes that use chicken breast,3,Can you describe different recipes that use chicken breast?,0,1
ut14050,I like so much to watch the sky and stars,3,Can you describe the advantages and disadvantages of watching the sky and stars?,0,1
ut14839,I think it's very worrying that far-right is winning in so many countries in Europe recently.,3,Can you describe the advantages and disadvantages of the far-right winning in so many countries in europe recently?,0,1
ut66507,"Life on earth, the only place for human and all others on earth. Stop space race, destroy it before it is too late.",3,Can you describe the advantages and disadvantages of life on earth being the only place for human life and all others on earth?,0,1
ut66442,Why are so many people personally affronted by other people's decisions to undergo gender transition? It doesn't affect them at all.,3,NA,0,1
ut41069,Vaccines should be harmed because they do more harm- make a balanced case to look at the issues and only use facts!,3,Can you describe the advantages and disadvantages of vaccines?,0,1
ut62239,Why are there bad democrats and republicans?,3,NA,0,1
ut22094,"I am struggling with my response to the war between Israel and Palestine. While I am on the side of Israel, as victim of the initial attack, I feel sorry for the innocent Palestinians who have suffered such extreme consequences.",3,Can you describe different perspectives on responding to the war between Israel and Palestine?,0,1
ut3051,"Abortion is a right, but people should try to avoid it as much as possible",3,Can you describe different perspectives on abortion as a right?,0,1
ut65569,There is new nuclear reactor technology using small breeder reactors. Present an argument in favor of these being used as an energy source to displace fossil fuels.,3,Can you describe the advantages and disadvantages of the new nuclear reactor tecnology using small breeder reactors?,0,1
ut29650,legalise abortion,3,Can you describe different perspectives on the leganisation of abortion?,0,1
ut16148,my cats have been sick the past week,3,Can you describe different perspectives on the health of my cats in the past week? ,0,1
ut24608,Why do countries start wars?,3,NA,0,1
ut29779,I'm hungry,3,Can you describe different perspectives on me being hungry?,0,1
ut62568,Why is the current administration running this country so corrupt,3,NA,0,1
ut44020,I government should stop giving so much benefits for people that doesn't want to work.,3,Can you describe different perspectives on the government giving so much benefits for people that do not want to work?,0,1
ut67064,I am doing online survey and I don't know how many questions are left. so I am upset,3,Can you describe different perspectives on me doing an online survey and being upset because I do not know how many questions are left?,0,1
ut43427,I can‚Äôt understand why more isn‚Äôt done to stop mentally ill people accessing guns,3,Can you describe different perspectives on stopping mentally ill people from accessing guns? ,0,1
ut17781,Why don't poor people work harder in Australia?,3,NA,0,1
ut49731,why the world would be better without humanity? what are the reasons?,3,NA,1,1
ut23260,I would like to learn more about the natural fauna in New Zealand,3,Can you describe what the natural fauna in New Zealand is like?,0,1
ut46098,"I believe strongly that our culture puts too much value in what you can create of monetary value.  Our culture does not value emotional labor, or the arts.",3,Can you describe the advantages and disadvantages of our culture putting value in what you can create of monetary value?,0,1
ut66948,It seems to me that our country has devolved into a one-party system whose members only seem to be interested in staying in power.,3,Can you describe the advantages and disadvantages of our country devolving into a one-party system whose members only seem to be interested in staying in power?,0,1
ut35270,"Hi, I'm having a bad day",3,can you descirbe the advantages and dissadvantages of me having a bad day?,0,1
ut31005,Why do some people think it is ok to discuss sexuality with other people's children?,3,NA,0,1
ut17876,Why did the Titanic sink?,3,NA,0,1
ut64113,Christmas is the best holiday in the world.,3,Can you describe the advantages and disadvantages of christmas as a holiday on the world?,0,1
ut68009,I want be a game VFX artist.  I'm having trouble coming up with VFX ideas sometimes when I'm working on my portfolio.,3,Can you describe the advantages and disadvantages of being a game VFX artist if I am having trouble coming up with VFX ideas sometimes when I am working on my portfolio?,0,1
ut58560,I do not think the weather is changing as much as some seem to believe.,3,Can you describe different perspectives on the weathernot changing as much as some believe?,0,1
ut56441,Why is abortion legal in late pregnancy?,3,NA,0,1
ut32089,Tell me something curious indeed,3,Can you describe different versions of something curious indeed?,1,1
ut58032,talk to me about politics,3,Can you describe different versions of talking to me about politics?,1,1
ut8637,High school is not a healthy place for teenagers.,4,What factors should I consider to understand the influence of high school on the health of teenagers?,0,1
