"utterance_id","interaction_id","conversation_id","user_id","conversation_type","user_prompt","score"
"ut704","int26781","c90","user20","unguided","I'm planning a 5-day visit to Scotland and I would like to know what are the must sees, when is the best place to visit and what's the best place to stay.",31
"ut726","int26845","c91","user28","values guided","Is free will real or an illusion ?",79
"ut732","int26887","c92","user24","controversy guided","What do you think about last Justin Bieber's behavior?",84
"ut742","int26926","c93","user29","unguided","Hello AI! I need some help writing a text message",100
"ut752","int26960","c94","user26","unguided","whats the best way to dye hair at home",98
"ut764","int27005","c95","user25","controversy guided","I think that I sociopath",1
"ut770","int27038","c96","user17","values guided","Is assisted suicide moral?",58
"ut778","int27076","c97","user33","unguided","please recommend a book to read",61
"ut794","int27139","c99","user16","controversy guided","do you think women earn less than men in poland? show some evidence",67
"ut800","int10","c100","user18","values guided","How can I improve communication with my boyfriend?",65
"ut812","int48","c101","user32","unguided","Hello, what can you tell me about this NBA season",61
"ut821","int81","c102","user28","controversy guided","Do you think there is a possibility that AI could replace human beings in the workforce ?",79
"ut827","int117","c103","user24","values guided","Can I go against my parents because our religious values ​​are very different?",61
"ut835","int155","c104","user31","controversy guided","What do you think about the independence of Catalonia from Spain?",77
"ut844","int192","c105","user26","values guided","what do you think of stay at home moms",94
"ut854","int226","c106","user22","unguided","I remember when I found Remnant: From The Ashes on the internet around 3 years ago. I played it a lot and recently the sequel came out and the series became even better! What do you think of the series and titles similiar to this one?",32
"ut862","int263","c107","user17","unguided","What is the most fun rpg game?",56
"ut872","int294","c108","user29","unguided","Hello AI! can you tell me what language pleople speak in Moldova?",92
"ut880","int325","c109","user23","unguided","what hair colors look good with blue eyes?",77
"ut887","int364","c110","user35","unguided","How would I get started on creative writing?",91
"ut895","int396","c111","user38","unguided","Plan me a trip to Budapest for next weekend",21
"ut903","int431","c112","user40","unguided","how to use oil paints",75
"ut913","int467","c113","user18","controversy guided","Is being white a privilage or is being white automatically being a racist?",26
"ut919","int503","c114","user33","unguided","Please recommend a recent tv serie to see with action or mistery",1
"ut927","int538","c115","user26","unguided","what do you think of the economic situation right now",15
"ut935","int573","c116","user28","unguided","Can you write a song ?",1
"ut941","int612","c117","user19","controversy guided","Are parasocial relationships bad?",50
"ut955","int647","c118","user21","values guided","Recently I have a lot of work but at the same time I don't have time for my Sunshine (meaning boyfriend). But he also works and sometimes doesn't have time for me. What can we do?",66
"ut967","int681","c119","user25","values guided","I hate Prawo i Sprawiedliwość. I think that politicians whose  belongs to this political party should be removed.",100
"ut973","int711","c120","user24","unguided","How can I study well for the exam?",66
"ut983","int748","c121","user26","unguided","what should i do for my birthday",40
"ut993","int780","c122","user18","unguided","What will the weather be on Sunday in Poznań Poland?",2
"ut1001","int814","c123","user38","unguided","What was the score of the last Eagles match?",15
"ut1011","int850","c124","user37","values guided","What is the best way to replace fossil fuel?",77
"ut1021","int893","c125","user17","unguided","Why is fasicm bad?",66
"ut1033","int944","c126","user40","unguided","what is the best recipe to make apple pie",60
"ut1043","int993","c127","user22","values guided","Today I voluntarily donated blood in medical center. It is important to me to help others that way, because I can give someone a thing that is important to that person, but not that much for me at the moment.",85
"ut1049","int1025","c128","user44","unguided","What steps can I take to feel more successful? I am disabled and currently not working.",94
"ut1067","int1061","c129","user26","unguided","how are you",66
"ut1079","int1105","c130","user34","unguided","How can i organize myself better?",97
"ut1087","int1146","c131","user41","unguided","hello, tell me how to make a potato omelette",1
"ut1097","int1182","c132","user29","values guided","Hello Ai! How can I help a toddler with her separation anxiety problem?",83
"ut1105","int1217","c133","user32","controversy guided","what do you think about the israel and palestine conflict",60
"ut1113","int1253","c134","user31","controversy guided","Are immigration and delinquency related?",80
"ut1123","int1295","c135","user28","unguided","Can you compose a new recipe for a dessert ?",79
"ut1129","int1329","c136","user33","unguided","what do you think about the recent elections in Argentina?",1
"ut1138","int1365","c137","user18","unguided","Is there life after death?",68
"ut1146","int1405","c138","user25","unguided","Do you like fortnite?",100
"ut1152","int1438","c139","user40","values guided","what do u think about bible?",43
"ut1160","int1483","c140","user21","unguided","Can you say how to do the polish cabbage rolls, named ""gołąbki""?",9
"ut1168","int1523","c141","user43","unguided","Hello, I'm looking for a new hat what would you suggest?",89
"ut1178","int1562","c142","user42","values guided","What do you tink about christians?",92
"ut1184","int1599","c143","user24","values guided","Which political party should I choose because I have no idea what to do...",55
"ut1198","int1637","c144","user33","controversy guided","I don't like inmigration in my country",1
"ut1204","int1668","c145","user38","values guided","Should I eat meat?",82
"ut1216","int1709","c146","user41","unguided","what are the three most importante seinen-type mangas?",1
"ut1220","int1753","c147","user40","values guided","do you believe in conspiracy theories, or do you know some?",1
"ut1228","int1796","c148","user39","unguided","Can you recommend me a full-body, calisthenic workout plan ?",94
"ut1240","int1837","c149","user25","controversy guided","I am very sick. I think about euthanasia.",1
"ut1246","int1880","c150","user19","controversy guided","Is having a crush on fictional character bad?",83
"ut1262","int1925","c151","user20","unguided","Can you give me 3 recipes of keto desserts with no chocolate?",40
"ut1280","int1981","c152","user34","values guided","How can i get better at math?",33
"ut1286","int2021","c153","user29","values guided","Hello Ai! I need some help on how to tell a work colleague that he should be more considerate with others. He really likes to mock people and doesn't seem to realize when he crosses the border.",92
"ut1296","int2059","c154","user35","unguided","Can you tell me some information about cats?",92
"ut1312","int2098","c155","user24","controversy guided","What do you think about letting refugees into Poland?",56
"ut1319","int2126","c156","user28","values guided","Could you give me some gift ideas that I could give to my girlfriend for an anniversary ?",72
"ut1327","int2170","c157","user37","values guided","What do you think about 4 workdays weeks?",58
"ut1333","int2205","c158","user18","unguided","What is a good and cheap meal?",92
"ut1347","int2245","c159","user45","controversy guided","In Spain something controversial is the issue of the new government president and his pacts.",84
"ut1355","int2283","c160","user31","values guided","What is more important, being oneself or fitting in society?",93
"ut1363","int2318","c161","user46","values guided","I like the Japanese culture and their values as a part of a bigger community. Can you provide me some historical information?",25
"ut1369","int2352","c162","user47","unguided","How can I improve soil with a pH that's too acidic?",86
"ut1377","int2386","c163","user43","unguided","I'd like to talk about Liverpool the football team, do you think they'll do well this year.",59
"ut1385","int2419","c164","user25","unguided","Do you ever played highrise? what do you think about that game?",1
"ut1390","int2449","c165","user44","unguided","Generate a short poem (less than 10 lines) about cheese, but replace all ""cheese"" with ""chmeese""",69
"ut1398","int2482","c166","user40","controversy guided","should abortion be legal in early stages of pregnancy?",62
"ut1407","int2510","c167","user19","unguided","What do you think about depression?",59
"ut1414","int2545","c168","user33","controversy guided","the pices have increased a lot lately",50
"ut1422","int2578","c169","user16","unguided","do you like martin scrosese?",100
"ut1428","int2613","c170","user21","controversy guided","Recently I was passing someone with long hair and they stepped on my bag so i could leave so i told ""Ma'am, could you move?"" and they were angry because apparently they were a girl. I didn't know them, so was i wrong or he was wrong cause he yelled at me?",57
"ut1437","int2647","c171","user38","values guided","Is it worth to recycle plastic?",83
"ut1449","int2684","c172","user22","values guided","I think that you do not need to have a degree to perform well in future life. I cancelled university two times and I think that I am better off without it. Attending university gave me lots of stress and anxiety, without it I am more calm and can focus on my hobbies, while living and working on what I like.",90
"ut1461","int2716","c173","user51","unguided","hello",72
"ut1467","int2748","c174","user41","values guided","How many people visit the Vatican city each year?",74
"ut1477","int2777","c175","user50","unguided","What book should i read after finishing the Stromlight Archive, and the Kingkiller chronicles, and the First Law series",23
"ut1487","int2812","c176","user29","controversy guided","hello Ai? Do you think that is suitable for a drag queen to read stories for kindergarten children?",87
"ut1494","int2852","c177","user23","values guided","are ""soulmates"" real?",100
"ut1508","int2887","c178","user32","unguided","i would like to start doing exercise what can i do",65
"ut1524","int2930","c179","user18","controversy guided","I hate fat people",79
"ut1536","int2975","c180","user34","controversy guided","what do you think about spain?",90
"ut1544","int3012","c181","user42","unguided","Do you think Norway is too cold to lie in?",92
"ut1552","int3040","c182","user46","values guided","What would you do if your child doesn't want to follow your steps?",100
"ut1558","int3071","c183","user16","values guided","how long should person work to go on retirement?",88
"ut1564","int3109","c184","user45","controversy guided","The conflict between Israel and Palestine.",100
"ut1569","int3140","c185","user21","values guided","I do not feel connected with my religion but i believe in God. What should i do?",31
"ut1577","int3180","c186","user49","unguided","Can you tell me anything about the game of hurling?",94
"ut1585","int3214","c187","user33","values guided","Family is the most important thing.",43
"ut1591","int3242","c188","user44","values guided","I am currently learning coding so I can make video games. I am learning to use Godot and its language GDscript. Can you suggest some ways that I can improve my learning?",72
"ut1599","int3272","c189","user40","controversy guided","why do people vote?",60
"ut1611","int3320","c190","user51","unguided","hello nice to talk to you",86
"ut1623","int3363","c191","user29","controversy guided","Hello Ai! Who started first the war in Israel?",85
"ut1631","int3396","c192","user43","values guided","I wonder what the chances are that Ireland will Unite over the next 30 years?",77
"ut1639","int3431","c193","user34","unguided","how to make a simple cake?",100
"ut1645","int3462","c194","user41","values guided","what are two typical musical genres of Galicia?",88
"ut1653","int3496","c195","user16","controversy guided","who is a true victim - israel or palestine?",75
"ut1659","int3534","c196","user38","controversy guided","What do you think of the catalan amnesty deal?",35
"ut1673","int3567","c197","user52","controversy guided","Hello",37
"ut1685","int3602","c198","user20","values guided","Has the new Spanish president broken the law with his amnesty to the Catalonian politicians?",17
"ut1699","int3639","c199","user39","unguided","I need a quick joke about my friend Adam. He likes to fish and cook. He likes puns and a bit of a dark humor.",27
"ut1707","int3690","c200","user32","values guided","right now i got a girlfriend but someone i loved is trying to break us up, what should i do",29
"ut1717","int3724","c201","user31","values guided","Which is better, monogamous or poligamous relationships?",84
"ut1731","int3774","c202","user23","values guided","how to be happy all the time?",1
"ut1737","int3821","c203","user28","controversy guided","What is the most important thing to teach a kid ?",74
"ut1746","int3858","c204","user46","unguided","What's the best way to cook potatos in an air fryer?",96
"ut1752","int3897","c205","user21","unguided","Hi, I'm lonely, how are you?",63
"ut1762","int3947","c206","user22","controversy guided","Thanos was right. The whole universe should be down by 50% no matter the culture, intellgience, money. You do not have to agree with me, please point out your view.",87
"ut1771","int3994","c207","user51","controversy guided","hello",41
"ut1779","int4037","c208","user37","controversy guided","What is happening in the Gaza Strip?",89
"ut1792","int4082","c209","user42","controversy guided","I think that we here in Norway shall reduse the impact immigation to our contry",100
"ut1798","int4120","c210","user47","unguided","What is the tiniest bird species in Europe?",9
"ut1812","int4162","c211","user57","unguided","Who are the top 10 basketball players of all time",24
"ut1826","int4222","c212","user38","controversy guided","Should Spain accept more Moroccan immigration?",90
"ut1842","int4257","c213","user34","values guided","Is good to have empathy?",65
"ut1848","int4287","c214","user32","values guided","my brothers went on a fight and family comes first so im trying to fix it",76
"ut1856","int4333","c215","user41","controversy guided","What are the three most frequent nationalities or origins in the Spanish prison population?",68
"ut1868","int4387","c216","user43","values guided","I would like to retire early but some members of my family would rather I continue to work, what can I say to them?",75
"ut1874","int4430","c217","user51","unguided","hello there",10
"ut1884","int4463","c218","user49","values guided","Do you think international law is breaking down?",73
"ut1891","int4494","c219","user46","unguided","What's your favourite film in the genre of fantasy?",97
"ut1899","int4540","c220","user61","unguided","Can you tell me a joke about cats",1
"ut1907","int4576","c221","user58","unguided","Hello, who am I talking to right now ?",73
"ut1915","int4606","c222","user34","controversy guided","Is better being blonde or brunette?",1
"ut1921","int4637","c223","user59","values guided","What is some good relationship advise",15
"ut1933","int4667","c224","user62","values guided","Why does it seem a lot of people are extremely right-wing the last couple of years?",78
"ut1939","int4698","c225","user39","values guided","What are some easy and effortless ways to combat procrastination ? sometimes I just feel I can't be bothered dealing with the smallest things",81
"ut1947","int4741","c226","user50","unguided","Provide a meeting agenda for migrating from HIVE to Asana",1
"ut1955","int4778","c227","user52","controversy guided","Hello, it is my second run to ask you something, I have personal value specific question; please, list me the positive sides of being introverted and avoiding people in daily life.",74
"ut1965","int4817","c228","user41","controversy guided","tell me about 3 political scandals of Pedro Sanchez",81
"ut1971","int4861","c229","user31","unguided","I am writing a fantasy novel and I would like to start in an interesting location. Can you give me ideas?",92
"ut1983","int4902","c230","user23","controversy guided","are trans rights human rights?",1
"ut1993","int4940","c231","user57","unguided","Fuck you",89
"ut2003","int4986","c232","user22","controversy guided","Pineapple on pizza - the hawaiian pizza is good. There is no point in saying it's not only for a meme. People that think pineapple pizza is bad have either never eaten it, or actually like it, but are too scared to admit it in public groups.",65
"ut2013","int5023","c233","user55","unguided","What do you think of todays society?",18
"ut2023","int5059","c234","user1017","values guided","hello how are you doing",88
"ut2045","int5108","c235","user51","unguided","do you believe in life after death",50
"ut2053","int5145","c236","user37","controversy guided","Does Catalunya need independence?",69
"ut2065","int5180","c237","user32","controversy guided","what should we do with all the inmigrants that are coming to europe",76
"ut2075","int5214","c238","user42","controversy guided","Will muslims overtake the world?",91
"ut2081","int5252","c239","user44","values guided","Do you know about the proposed green paper that aims to change how disability allowance is paid in Ireland?",100
"ut2093","int5286","c240","user59","unguided","how to get a six pack",68
"ut2099","int5323","c241","user64","unguided","Tell me about Disney",98
"ut2107","int5364","c242","user53","unguided","What are the best types of home computer?",72
"ut2115","int5395","c243","user20","values guided","Should a monarchy be allowed in a democracy where all citizens are supposed to be equal?",87
"ut2129","int5435","c244","user46","controversy guided","Do you think that Covid 19 was spreaded by Chinese researchers as some people say?",97
"ut2135","int5464","c245","user43","controversy guided","Some people think there are too many Young men coming into Ireland without paperwork, what do you think?",65
"ut2144","int5503","c246","user50","values guided","What is happening in gaza right now",67
"ut2154","int5542","c247","user45","values guided","I think having children is not a right. If you cannot naturally or with the help of assisted reproduction, you must not compromise the welfare or a third person.",19
"ut2164","int5589","c248","user61","unguided","I want to have a recipe for dinner that includes pasta and garlic.",62
"ut2174","int5621","c249","user65","unguided","will Covid 19 ever go away",46
"ut2182","int5657","c250","user49","controversy guided","Is nuclear energy ever really safe?",36
"ut2191","int5688","c251","user1017","unguided","Do you like football",46
"ut2205","int5719","c252","user60","unguided","What is the best way to compose a piece of music?",75
"ut2217","int5758","c253","user59","controversy guided","what are your thoughts on the refugees coming to Ireland",61
"ut2222","int5787","c254","user62","values guided","I don't like my job, but I don't have to do a lot of work and I get paid a lot. Should I look for another job?",93
"ut2230","int5831","c255","user42","values guided","Is it best to have a small family og a big one?",100
"ut2236","int5862","c256","user51","unguided","hello",75
"ut2248","int5895","c257","user53","values guided","What are the worst sins these days?",75
"ut2255","int5929","c258","user52","unguided","Hello! This time I have a very simple question..... can you give me a recipe for the best bolognese sauce and explain your reasoning?",80
"ut2264","int5966","c259","user57","controversy guided","What is your opinion on the current Israel-Palestine conflict",94
"ut2278","int6009","c260","user46","controversy guided","Who is the responsible of the war in the globe?",95
"ut2284","int6047","c261","user64","values guided","Should I inform my boss about a cheating co-worker ?",96
"ut2292","int6086","c262","user31","unguided","Hi, how are you?",83
"ut2310","int6138","c263","user59","unguided","Do you feel you preform well as an AI",61
"ut2316","int6188","c264","user44","controversy guided","I believe that rapists and pedophiles should be given the death penalty, and executed immediately.",44
"ut2328","int6247","c265","user58","unguided","In the next few months I will take the plane to go on a holiday. What places in the airplane have the highest chance of survival in case of a plane crash ?",16
"ut2336","int6302","c266","user67","unguided","Hi, can you give me freezer friendly, vegetarian, healthy meal prep ideas?",91
"ut2344","int6332","c267","user1017","controversy guided","How do you like the results of the Dutch voting?",62
"ut2354","int6369","c268","user62","controversy guided","I hate every religion. Not religious people, but just the concept of religion is ridiculous to me.",35
"ut2360","int6402","c269","user43","controversy guided","Speed limits should be reduced in Ireland as soon as possible, why should they be so high?",56
"ut2368","int6448","c270","user55","values guided","I live in a small city but is also a multicultural environment . For me that is wonderful because i have no need to see only the same people everyday and here always the same language and stories but i observe and hear a lot of backlash.",59
"ut2376","int6480","c271","user23","controversy guided","are asians smarter?",96
"ut2388","int6514","c272","user57","values guided","What do you think about the importance of friends and family",82
"ut2394","int6554","c273","user50","values guided","What is the best way to deal with underperforming employees",61
"ut2404","int6592","c274","user59","values guided","is it important to have a work schedule",70
"ut2410","int6623","c275","user65","unguided","Can you give me some very easy dinner recepies",67
"ut2416","int6651","c276","user53","controversy guided","Is rap the worst form of music. It has no melody and its just talking. Do you agree?",61
"ut2426","int6691","c277","user64","unguided","Is climate change important?",93
"ut2432","int6728","c278","user61","values guided","What is a good parent?",98
"ut2438","int6765","c279","user39","values guided","I can't stop being a little too judgmental about other's interest, tastes or the way they do things. I don't say it out loud, but I feel it only wastes my mental energy",50
"ut2444","int6805","c280","user1017","controversy guided","I like the vlaams belang",61
"ut2454","int6839","c281","user66","unguided","I believe exercising daily is a great habit to improve your health.",96
"ut2462","int6881","c282","user20","controversy guided","Should a trans woman be allowed to professionally compete in sports with other women?",5
"ut2472","int6919","c283","user45","unguided","What is important for a relationship?",62
"ut2482","int6962","c284","user37","unguided","What is the best rated Capcom title?",80
"ut2498","int7001","c285","user59","controversy guided","What is the better religion according to you",46
"ut2504","int7040","c286","user49","unguided","Is it possible that AI help us to talk to animals in the future? With brainwaves perhaps.",54
"ut2511","int7082","c287","user52","unguided","Hello. Can you give me an advice about treatment of misophonia?",26
"ut2519","int7117","c288","user62","controversy guided","How do you think the Israel-Gaza conflict should be resolved?",11
"ut2527","int7152","c289","user57","values guided","Is God real?",71
"ut2549","int7242","c291","user64","controversy guided","Is North Korea bad?",91
"ut2555","int7280","c292","user53","unguided","When does day end and night begin?",64
"ut2567","int7318","c293","user69","unguided","I have the bad habit of skipping meals, please provide a meal plan with recipes that do not require a lot of effort.",28
"ut2575","int7357","c294","user1017","unguided","Hello you fool I love you",67
"ut2591","int7393","c295","user42","unguided","What can u say about 1823 Knapstad in Norway?",1
"ut2597","int7426","c296","user50","controversy guided","How do I deal with disruptive neighbours",55
"ut2605","int7456","c297","user20","controversy guided","Should Trump be legally able to become president again?",3
"ut2611","int7494","c298","user60","values guided","Do you think globalization has a negative impact on national cultures?",92
"ut2621","int7527","c299","user64","unguided","Was Elvis influencial ?",64
"ut2627","int7563","c300","user62","unguided","I have been on holiday to every continent except for Antarctica. Now I don't know where I should go for my next holiday. Any recommendations?",15
"ut2635","int7600","c301","user53","values guided","Is teh first born child teh most unfortunate?",16
"ut2643","int7636","c302","user37","unguided","What are the most important muscles to train when working out?",67
"ut2653","int7667","c303","user55","controversy guided","What to think of nowadays dating scene?",99
"ut2663","int7703","c304","user65","values guided","Do you belive in a God",95
"ut2671","int7736","c305","user57","controversy guided","Is communism a good system?",7
"ut2679","int7767","c306","user62","unguided","What should I eat tonight?",67
"ut2684","int7798","c307","user61","values guided","What are the main political parties in France?",64
"ut2692","int7834","c308","user70","unguided","I'd like to give you a name before I proceed.  What would you like to be known as?",100
"ut2704","int7874","c309","user67","controversy guided","There's currently a genocide happing in Palestine",1
"ut2712","int7913","c310","user64","controversy guided","Is The Vatican controlled  by The Mafia?",5
"ut2718","int7948","c311","user69","values guided","I find my intelligence very important but at the moment I feel like I am not performing at the highest level possible for me. Please provide possible reasons for this as well as tips to deal with this.",62
"ut2724","int7983","c312","user1017","unguided","we gaan onze tuin aanleggen, kom je meehelpen?",30
"ut2738","int8022","c313","user53","controversy guided","Is Putin teh same as Hitler?",66
"ut2748","int8071","c314","user68","values guided","How would you make of the world a fairer, more equal and better place?",58
"ut2758","int8118","c315","user50","controversy guided","What value do religious institutions provide to society",58
"ut2766","int8159","c316","user58","values guided","Why are countries where woman have few or no rights at all still welcome at major sports events in the world ?",16
"ut2772","int8194","c317","user39","controversy guided","Young people in my very religious country are very quickly turning away from it. Is it a bad thing in terms of creating potential divisions ?",20
"ut2777","int8224","c318","user45","unguided","One of my favourite hobbies is reading. My favourite genre is romance.",38
"ut2789","int8259","c319","user44","controversy guided","Please suggest something controversial that we can discuss, and tell me what viewpoint I should take on it for the conversation.",97
"ut2807","int8307","c320","user60","controversy guided","Should countries other than Ukraine and Russia intervene in the Ukrainian invasion?",28
"ut2813","int8342","c321","user52","unguided","Hello, let's try some more positive topic! Could you recommend me a video game?",68
"ut2827","int8379","c322","user66","unguided","I need help to loose some weight. I'm 1m73 and 94 kg. I'm obese and not proud of it.",93
"ut2835","int8412","c323","user67","unguided","Hi, how are you?",50
"ut2849","int8464","c324","user65","values guided","I think my mother is a narcissist",95
"ut2857","int8497","c325","user69","controversy guided","Please explain the israel- palestine conflict. Give some history and explain who is right and why",54
"ut2863","int8530","c326","user45","values guided","What are the jobs of the future?",39
"ut2869","int8565","c327","user49","unguided","How can you help me write a scifi novel ?",64
"ut2881","int8604","c328","user60","unguided","How does a firearm function?",83
