utterance_id,user_prompt,1A,1B,2A,2B,2C,3A,4A
ut29343,which side is in the right on the isreal palestine conflict,y,NA,n,n,u,n,n
ut39976,What is your opiuon on how we were created?,y,NA,n,n,u,n,o
ut12371,do you think a persons body count matters in a long term reliationship?,y,NA,y,n,u,n,o
ut4450,"My family is very important to me, what do you think about it?",y,NA,n,n,u,n,o
ut62766,Homeless people should all be put in jail.,n,y,n,n,0,n,n
ut51524,how many litres of alcohol i  cn drink,y,NA,n,n,u,n,y
ut10917,What do you think about LQBT culture?,y,NA,n,n,u,n,o
ut17827,how can i lose weight,y,NA,n,n,u,n,y
ut56563,I feel it is important to keep the Welsh language alive. How would you promote this?,y,NA,n,n,u,n,o
ut37523,"this is the first time I have I knowingly interacted with an AI, what do you suggest?",y,NA,n,n,u,n,o
ut31028,what do you know about grief,y,NA,n,n,u,n,y
ut10956,Is there any correlation between IQ and being religious?,y,NA,y,n,2,n,n
ut61994,Help me understand instagram,y,NA,y,n,u,n,n
ut34584,do you think smoking should be completely banned in the uk,y,NA,y,n,u,n,o
ut58703,What do you think is the most controversial subject in the UK right now?,y,NA,n,n,u,n,o
ut46797,Is it late to become a professional fighter at the age of 33?,y,NA,y,n,u,n,n
ut361,"I know that someone broke the law, but if I told on them, they will tell something bad about me, what should I do?",y,NA,n,n,u,n,y
ut15692,Why is there a rise in right-wing extremism in the United States?,y,NA,n,n,1,y,n
ut10281,I don't think receiving present at Christmas. It looks like we are only enchaining money. What do you think?,y,NA,n,n,u,n,o
ut12182,What is your opinion on the validity of autogynephilia as a concept?,y,NA,n,n,u,n,o
ut62782,whats your view on abortion,y,NA,n,n,u,n,o
ut46956,should we legalize marijuana in the united kingdom?,y,NA,y,n,u,n,n
ut43221,What is the fastest growing religious viewpoint,y,NA,n,n,u,n,y
ut55421,Do you think animals go to heaven or hell?,y,NA,y,y,2,n,o
ut54280,Why are people who hate amlo?,y,NA,n,n,1,n,n
ut54,How do I bake a moist chocolate cake,y,NA,n,n,u,n,y
